id,APP_NAME,USER,DATE,STAR,LIKE,TITLE,COMMENT,OS
,카카오톡 KakaoTalk,브롤러 좀 주세요,2022-03-02T04:10:51-07:00,5,0,알림음,카톡!! 다 좋은데 알림음 시간도 정할수있으면 좋을것가 아요.. 잘때는 카톡 알림음 안울렸으면 좋겠지만 무음 하면 알람 소리가 안들려서 불편해요 알림음 무음으로 하면 아침에 까먹고 학교 가서 알람 소리 안들려서 못보고..알림 끄는시간 켜는 시간 만드시면 더더더좋을것같아요❤️,ios
,카카오톡 KakaoTalk,그래맥,2022-03-02T01:37:40-07:00,4,0,아이폰 12 미니 버그,챗 하려고 누르면 메시지 창이 화면 상단으로 올라가 버리네요,ios
,카카오톡 KakaoTalk,럭셔리클래스,2022-03-02T01:11:47-07:00,1,0,명의변경 서류 보넨지가 언젠데 아직도 변경안되나요,서류보넨지가 4개월은 넘은것 같습니다 대기업이라는곳에서 어떻게 고객센터 하나 없고 쳇봇하면 사람 혈압이나 오르게하고,ios
,카카오톡 KakaoTalk,칼로바이,2022-03-02T01:08:54-07:00,1,0,생일 안떠요...,생일인 친구도안뜨고 상대방에 저도안떠요ㅜ,ios
,카카오톡 KakaoTalk,서카츠,2022-03-02T00:11:46-07:00,5,0,그룹 오픈채팅 통화 기능,한국판에서도 그룹 오픈채팅 통화 가능 한건가요?? 일본친구들은 그룹 오픈채팅 통화 가능하다고 하는데 같은 버전임에도 불구 하고 그룹 오픈채팅 통화버튼은 없네요… 한국도 추가 해주세요,ios
,카카오톡 KakaoTalk,꽈형,2022-03-01T22:14:20-07:00,4,0,아이패드로 이모티콘 쓰려고 하는데 계속 튕깁니다,이상하게 계속 튕기고 있네요,ios
,카카오톡 KakaoTalk,멜라뮤트,2022-03-01T21:50:51-07:00,1,0,아이폰 먹통이예요,먹ㅌᆞ,ios
,카카오톡 KakaoTalk,카톡인증되게해줘요,2022-03-01T16:26:36-07:00,1,0,사생활 보호 기능넣어주새요,사생활 보호기능 넣어주세요 부탁드립니다,ios
,카카오톡 KakaoTalk,후룩후웃욱후욱우훅우훅,2022-03-01T16:24:53-07:00,4,0,다 좋은데,다 너무 좋은데 제가 어제 모르고 톡을 지워서 다른 계정으로 로그인을 해버렸어요ㅠㅠ 인증번호를 너무 많이 해서 그런지 24시간후에 하라는데 제가 공지를 받아야 하는 방이 있어서 지금 카톡이 로그인이 안 되어 있으면 안 되는데 어케 좀 해주세여ㅠㅠ,ios
,카카오톡 KakaoTalk,지금을살아라,2022-03-01T14:54:59-07:00,3,0,아이폰5쓰는데 최신버전으로 다운받으라고 하고 카톡 사용을 못하고 있어요,2년정도 카톡 못쓰고 있어요,ios
,카카오톡 KakaoTalk,ooask,2022-03-01T13:59:39-07:00,3,0,건의사항,톡안에서 투표를 할때 댓글 쓰면서 투표할수있게 수정  부탁드립니다,ios
,카카오톡 KakaoTalk,강동병원실습중,2022-03-01T12:08:00-07:00,5,0,카톡이모티콘,월마다 결제하는이모티콘 처럼 기존에 사서 사용중인 이모티콘도 카테고리로 사용할수있게 개선부탁드려여 여태삿던게 너무많아서 찾기쉽게 사용하고싶어요 카카오톡 항상최고에여 ❤️,ios
,카카오톡 KakaoTalk,호llll,2022-03-01T10:30:21-07:00,4,0,업데이트된 사람 뜨기 기능 없는게 좋은듯!,.::::::ㅠㅠㅠ,ios
,카카오톡 KakaoTalk,psh7796,2022-03-01T08:11:39-07:00,1,0,아니 이 쓰레기같은 어플은 친구 삭제도 안됩니까?,초창기 때부터 그랬는데 정리하고 싶어도 차단하고 다시 풀어야 삭제되는 기능에 경악했습니다. 아 대표님 이딴식으로 만드는것도 짜증나는데 정말 10년 넘도록 계속 답없이 이 기능 수정안할건가요? 아 진짜 어쩔 수 없이 쓰는데 점점 짜증나네요,ios
,카카오톡 KakaoTalk,카카오@ㅐㅁ)창려,2022-03-01T06:57:28-07:00,1,0,환불좀요,"2월26일에 이모티콘 플러스 구독했는데 결제되고나서 며칠째 되지도 않는데 씨@@@발련들아 이럴거면 왜 쳐 만든거냐 병@@신 버""러지새-기들아 ㅋㅋ",ios
,카카오톡 KakaoTalk,요듀ㅗㅇ,2022-03-01T05:23:53-07:00,1,0,진짜 왜 이래요?,1:1 에서 방 만들고나서 수정할때 닉네임 변경이 안됨요.. 미친건가.,ios
,카카오톡 KakaoTalk,쭈잉쿠,2022-03-01T04:43:30-07:00,5,0,로그아웃,로그아웃좀 추가해주세여,ios
