APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
Google Meet,까내,2022-04-02 20:05:06+09:00,1,0,걍 들어가져도 바로 나와집니다;;,ios
Google Meet,나는야 설레임,2022-03-31 19:45:22+09:00,5,0,보정 제발제발제발제발제발제발제발제발제발제발제발제발제발제발제발제발제발제발제발제발제발제발제발제발 제발제발제발제발제발제발제발제발제발제발제발제발,ios
Google Meet,"Purnima,a student",2022-03-31 13:12:24+09:00,5,0,"I like Google  Meet because it helps me to get a more efficient way to interact with my teachers and has lots of pretty filters and backgrounds that can hide the things behind my back , such as things…. I don’t want to show.",ios
Google Meet,아ㅕ료ㅑ엻ㄴㄷ퍄ㅗㅠㅂㅈ,2022-03-18 11:10:47+09:00,5,0,아이패드로 수업하다가 가끔씩 수업에서 저절로 튕기고 다시 들어가면 바로 나가져요 제발좀 고쳐주세요,ios
Google Meet,스티브 20,2022-03-11 07:10:05+09:00,5,0,Very good! Wonderful!,ios
Google Meet,밋밁,2022-03-10 08:30:02+09:00,5,0,요즘 학교에서 미트를 쓰는데요 미트에도 보정 기능을 넣어 주셨으면 좋겠습니다. 제발 보정 기능 넣어주시면 감사하겠습니다.,ios
Google Meet,꿻뚫뺅셿,2022-03-09 19:10:20+09:00,1,0,패드 쓰는 사람들끼리 모여서 하면 한 사람 화면 켜지면 다른 사람게 꺼지고.. 너무 불편하네요 여럿이 한번에 화면공유좀 할수 있게 해주세요,ios
Google Meet,ㅣㅣㅣㅣㅣlllI,2022-03-08 08:34:24+09:00,1,0,갑자기 튕겨서 다시 들어가면 바로바로 튕겨서 다시 안들어가지고 멀쩡하게 잘 소리들리다가 갑자기 소리 안들리고 진짜 짜증나네요,ios
Google Meet,리뷰 작성녀입니다,2022-03-07 16:16:56+09:00,1,0,당장 내일 수업해야하는데 왜 설치는 되는데 안 들어가지죠?지금 몇번을 깔았다 지웠다하는지 모르겠네요;진짜 너무 짜증나네요,ios
Google Meet,**ㅈㅂ,2022-03-03 22:59:48+09:00,1,0,화면이 제 자꾸 얼굴따라서 움직여요ㅜ 제발 줌처럼 화면 안움직이게 만들어주세요 폰으로 할땐 안그러는데 아이패드만 그러네요,ios
Google Meet,파란레몬에이드,2022-01-26 13:32:56+09:00,5,0,크루원들과 통화할 때 마다 화면이 검은화면이 돼면서 자주 꺼집니다. 어떻게 할 방법 없나요? 아니면 개선해주세요,ios
Google Meet,말할미트,2022-01-01 23:06:39+09:00,5,0,화면 우측 하단 점 세개 누르면 원래 발표하기가 나와야한다는데.. 오늘 처음 깔았는데 버튼이 없어서 뻑쳐서 지워요 이거 어케좀 해주세요 저 말고도 이러는 사람 가끔 있다는데요,ios
Google Meet,함께가요,2021-12-24 19:54:43+09:00,5,0,덕분에 좋은 경험을 하였습니다.,ios
Google Meet,ㅠㅛㅘ처오ㅓ퍄,2021-12-21 09:36:06+09:00,1,0,배경화면이나 안풀리게 하세요 회의시작할때마다 배경 풀리는거 빡침. 진짜 쓰기 싫은데 회사에서 억지로 쓰니까 쓰는 프로그램임. zoom이 훨씬 낫다,ios
Google Meet,기말망친학생,2021-12-15 09:42:34+09:00,1,0,진짜 개느림,ios
Google Meet,개거지같네요,2021-12-03 07:41:33+09:00,1,0,계속 안들어가져서 지웠다가 다시 깔고 온갖짓을해도 안되네요 결국 시간안에 못들어갔어요 업데이트 왜했어요? 모바일 사용자들은 그냥 죽어라 그건가요?,ios
Google Meet,단여황,2021-11-18 05:20:18+09:00,5,0,코로나 상황속에서 미트 덕분에 온라인으로 회의 및 공부 잘하고 있어 감사하는 마음입니다. 하나 제안요청 드리면 컴퓨터나 노트북에서는 배경화면을 바꾸어 설정 가능한데 아직 휴대폰에서는 그게 되지 않습니다. 휴대폰에서도 배경화면 설정이 가능하도록 해 주시면 감사하겠습니다.^^,ios
Google Meet,Boramae park,2021-11-17 08:01:35+09:00,1,0,그냥 소리만 듣고 싶은데 다른 앱 하려고 하면 화면으로 작게 뜨는 거 너무 불편해요 옆에 화살표로 가게 없앨 수 있지만 그렇게 뜨는 것 자체가 불편해요,ios
Google Meet,라이엇노m,2021-11-16 15:18:20+09:00,1,0,줌보다 나은 점이 일도 없음 그냥 하위호환,ios
Google Meet,뷰연쓰,2021-11-16 15:07:28+09:00,5,0,잘쓰고 있는뎁 박수기능있으면 넘넘 재밌고 좋을 것 같아용❤️❤️❤️❤️,ios
Google Meet,dhH18dnjx,2021-11-16 13:15:29+09:00,3,0,아이패드로 수업을 들어가면 들어가자마자 바로 튕겨요.. 수업들으려고 아이패드 샀는데 참…왜 이럴까요 며칠째인지 모르겠습니다,ios
Google Meet,아ㅏ아아창,2021-11-12 12:39:26+09:00,5,0,하루에도 몇번씩 튕기는데….. 제발 좀 해결해주세요.  학기초부터 이랬는데 아직도 개선이 안되네요. 리뷰를 보기는 하시는지 저같은 사람들 많은것 같은데.,ios
Google Meet,dsdksfa,2021-11-12 10:55:43+09:00,3,0,다른건 전체적으로 다 좋은데 어느 순간부터 자꾸 들어가자마자 나가져요ㅠㅠ 이럴때 정말 곤란합니다,ios
Google Meet,뿡용빵용,2021-11-08 08:17:10+09:00,1,0,제발 무슨 아이패드로만 들어가면 들어가자마자 튕기고 왜이래요?? 수업을 들을수가 없어요 다른 리뷰보니까 이런리뷰 어느정도 있던데 개선 안하시나요… 진짜 짜증나영..,ios
Google Meet,곰이고퐈,2021-11-04 11:31:36+09:00,5,0,좋은데요,ios
Google Meet,어어오어아오아웅,2021-11-03 09:15:49+09:00,1,0,아이폰13프로 사용중 입니다 화면이 깜빡거리네요,ios
Google Meet,sexy gat,2021-10-26 09:08:32+09:00,1,0,우리학교가 이딴 쓰레기로 수업 한다는거에 1차적으로 화남. 구글 앱들은 유튜브를 비롯해 업데이트를 하면 할 수록 점점 쓰레기가 되어가는게 느껴짐 사용자들 의견은 하나도 반영 안하는듯.,ios
Google Meet,오핸hhh,2021-10-24 23:15:12+09:00,1,0,아이패드로 미트 사용하는데 혼자 튕겨버리고 바로 다시 들어가려고 하면 들어가자마자 또 튕겨버립니다ㅜㅠㅠ 인터넷 연결 문제일까봐 잘 되는 곳으로 갔는데도 똑같고 리뷰에 저와 같은 사례가 많은거 보니까 앱 문제인 것 같은데 좀 고쳐주세요 ㅜㅜㅠ,ios
Google Meet,다민입니다,2021-10-19 13:19:54+09:00,5,0,봐주시면 좋겠어서 별 5개 드려요 제발 봐주세요 저는 아이패드 유저인데 구글미트를 할때마다 아이폰은 안그러는데 아이패드는 화면을 얼굴로 계속 돌려요 자동으로;; 저번엔 안그랬는데 왜그러는지 방법을 알아야하는지 고쳐야하는 문제인지.. 한번 봐주세요!!,ios
Google Meet,zhdlcoii,2021-10-19 10:45:31+09:00,5,0,구글 미트를 잘 사용하고 있는 학생인데요 접속 중에 아무것도 누르지 않았음에도 불구하고 갑자기 튕기고 다시 접속하려 하면 들어갔다 바로 다시 나와집니다 핸드폰으론 문제 없는데 아이패드만 그런 것 같아요 수정해 주세요 감사합니다,ios
Google Meet,갑자기왜이래?!,2021-10-18 12:53:29+09:00,1,0,메뉴얼에서는 안드로이드 태블릿에서도 배경 변경 가능하다고 나와있는데 안 됨. 최소한의 기능만 있음 매뉴얼에 적힌 지원가능 기기보다 후에 출시된 기기인데 안 되는게 이상해서 문의해도 매뉴얼 외에는 모른다고 의견제출하기로 하라는데 그럼 뭐 피그백은 옴?? 고객센터도 더불어 최악,ios
Google Meet,자연산아낙,2021-10-17 12:54:08+09:00,5,0,통화품질 좋았습니다,ios
Google Meet,강릉에삽니다,2021-10-14 15:01:52+09:00,5,0,비대면으로 교육할수있어 좋아요,ios
Google Meet,골뱅이아빠,2021-10-12 17:59:24+09:00,5,0,Great,ios
Google Meet,ㅂㅋㅅㅋㄷ,2021-10-12 08:45:59+09:00,1,0,뭐함 ?,ios
Google Meet,어어러어ㅏ아나냐내,2021-09-29 09:13:24+09:00,2,0,아이패드에서 가끔 튕기거나 소리가 안들리는 현상이 발생하는 것 같은데 기껏 아이패드 샀더니 온라인 수업할 때 너무 불편합니다 개선부탁드려요,ios
Google Meet,다 사용중이면 난 뭐하라고,2021-09-28 10:09:09+09:00,4,0,제발 회의 들어가기 전에 카메라 후면 전면 바꿀 수 있게 해주세요..;;;,ios
Google Meet,09.17.04,2021-09-27 16:12:32+09:00,3,0,이것만 쓰면 통화 중일 때 화면이 검정색으로 꺼졌다 켜졌다해요 진짜..고쳐주십시오 제발,ios
Google Meet,내가 제일 정상인듯,2021-09-27 09:24:54+09:00,1,0,오늘 아침에(9.27) 앱을들어가서 회의를 들어가려는데 자꾸 회의에서 튕기네요.ㅋ 아무리 들어가려 해도 안되요. 제가 기종이 아이패드 프로 4인데 이것만 그러는지 모르겠네요. 근데 핸드폰(갤럭시)은 잘들어가져요. 이거 온라인 땜에 매일 들어가야되는데 너무 불편해서 빠른시일내에 고쳐주세요.,ios
