APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
Instagram,백록담지기,2022-03-21 09:40:57+09:00,5,0,너무 좋아용 ㅎㅎㅎ,ios
Instagram,sungsoseoyea,2022-03-21 02:24:32+09:00,5,0,다른애들은 스토리에 설문 4개씩 추가할수 있게 업데이트 됐는데 저만 계속 예/아니오 로만 뜨는데 업데이트가 안 돼서 그렇다네요.. 빨리 업데이트 좀 해주세요,ios
Instagram,khy32701,2022-03-21 01:14:22+09:00,4,0,스토리에 링크거는게 안 되는데 폰도 최신폰이고 업데이트도 최신입니다ㅠㅠ 어떻게 안 될까요,ios
Instagram,"인스타 보안 ,,,",2022-03-21 01:13:08+09:00,5,0,아니 왜 저만 설문할때 문항 두개로만 뜨죠.. 업뎃도 했는데 저만…,ios
Instagram,어이없어요하,2022-03-21 00:23:51+09:00,1,0,인스타 들어갔는데 갑자기 ‘나중에 다시 시도하세요- 인스타그램은 커뮤니티를 보호하기 위해 특정 활동의 허용되는 횟수를 제한합니다. 이 조치가 실수라고 생각하는 경우 저희에게 알려주세요’라고 뜨고 아래에 ‘의견을 알려주세요’라고 떠서 눌렀는데 바뀌는게 없네요 스토리도 안 들어가지고 의견을 알려드릴 수도 없네요 뭐 어쩌잔거죠?,ios
Instagram,sihsodhssnsishbsnsnss,2022-03-20 23:50:29+09:00,1,0,페메처럼 만들어진 거 없애주세요ㅜㅠ 디엠의 특유한 감성의 좋았는데 왜 페메처럼 된 건가요ㅠㅠ,ios
Instagram,인스타그램 사랑하는 수,2022-03-20 23:33:39+09:00,5,0,"전에는 인스타그램 쓰는 사람이 별로 없었는데 지금은 인스타그램 없는 사람은 별로 없어요.  전에 잘 몰라서 사진을 이상하게 올리고 피드도 안 예쁘게 했는데 요즘은 트렌드를 따라 피드를 잘 해보려고 노력하고 있습니다.  사진이 두장 있으면 두번째 사진이 피드에 보이게 하고싶을 때가 있구요, 사진을 크롭하고 싶을 때도 있어요.  피드에 있는 사진 커버들을 욺기는 기능, 바꾸는 기능이 생기면 완벽 할 것같은데 그렇게하면 인스타 가치가 없을 것 같긴한데요,  이런거 말고 벌써 올렸던 사진 크롭하는 기능이나  두사진만 있을 때 이 두사진을 서로 바꾸게 하는 그런 기능! 그리고 인스타 피드에 그리드(grid)가 있는듯한데 없잖아요? Pc로보면 그리드가 좀 넓은 편인데 핸드폰에도 그렇게 pc 처럼 그리드를 조금 넓히면 인스타가 더 예뻐질것같아요!",ios
Instagram,메밀묵이다,2022-03-20 23:19:58+09:00,5,0,공동작업자 기능이 안 떠요 ㅜㅜ,ios
Instagram,니 똥글똥글 귀요미 자기,2022-03-20 22:22:31+09:00,4,0,딴건 다 좋은데 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 딴건 다 좋은데 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 제발 디엠 답장 기능좀 제발 디엠 답장기능좀 답장 기능 만들면 별 5점 채울게요 ㅎㅎ,ios
Instagram,히흐히힣희,2022-03-20 21:57:46+09:00,5,0,업데이트가 안되고 있어요 ㅠ 노래 추천받는 거나 올린 게시글 여러사진 중 하나 없애는 거 .. 등등 여러 기능이 업뎃이 안되어요ㅠㅠ,ios
