APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
Netflix,별명없성,2022-03-20 18:37:37+09:00,5,0,1.5배속도 부족해요!!,ios
Netflix,앙기모찌누,2022-03-20 09:56:38+09:00,1,0,결제 취소랑 다 끊었는데 다음날 결제되는건 무슨말이죠 ? 빨리 환불해 주세요,ios
Netflix,퀴즈퀴즈퀴즈,2022-03-20 08:14:47+09:00,1,0,아니 무슨 자막이 다 읽지도 못했는데  다음 자막으로 넘어가나 별 1개주기도 아깝네,ios
Netflix,rkdwldb62,2022-03-20 03:02:57+09:00,1,0,시즌 끝날때까지 번역 하는 사람 고정 좀 했으면 시즌 지날수록 구려지는거 한두개가 아님,ios
Netflix,dvcndjwiwibf,2022-03-20 02:27:24+09:00,1,0,화질이 너무 깨져요,ios
Netflix,피치송이,2022-03-17 23:44:51+09:00,1,0,영상볼때마다 화면이 계속 깨지고 끊기고 에러 걸리고 자꾸 튕겨서 보기가 너무 힘들어요 개선 좀 해주세요.,ios
Netflix,화면이 정사각형,2022-03-16 00:47:41+09:00,2,0,작게 볼때는 원래 화면 크기대로 잘 보이는데 크게 볼때는 양옆이 짤려서 나와요..제발 ㅜㅜ 정사각형처럼 짤려서 나와요ㅜㅜ 뭐가 문제인거죠?,ios
Netflix,홇호ㅗㅗ롤,2022-03-15 23:11:31+09:00,1,0,탭하여 다시시도 무한으로 즐기는중입니다. 아이패드 프로4세대입니다,ios
Netflix,밤 하늘에 펄,2022-03-15 20:58:24+09:00,4,0,아니 영화 겁나 적은데 가격은 겁나 비싸 이게 무슨 말 같지도 않는 개서리야 아 영화 많이 추가 해주세요,ios
Netflix,컬쳐랜드 dog쓰레기,2022-03-15 19:58:10+09:00,1,0,아니 잘보는데 볼때마다 시청기록 자동으로 없어져서 지웠다 깔았다 하는데 개짜증남,ios
Netflix,sy0229,2022-03-14 16:25:54+09:00,2,0,화질 자꾸 깨져서 프리미엄으로 업그레이드했는데도 똑같네요 왜 빨리 개선 안해주시는거죠? 이럴거면 프리미엄 멤버십은 왜 있는건지,ios
Netflix,dksoznfke,2022-03-13 23:03:20+09:00,1,0,"5G 무제한 ,기기는 아이폰 미니, 업데이트 전부 완료했습니다. 그렇다면 문제는 넷플릭스에 있을 확률이 높은데요, 화면이 너무 많이 깨져서 1점 리뷰써서 스트레스 받네요. 피드백 바람.",ios
Netflix,ひさあやかまで,2022-03-13 20:42:35+09:00,5,0,뒤에만 보니까 재미가 추억팔리로 보는데;;,ios
Netflix,hrajtetkhdsfj,2022-03-13 12:22:10+09:00,1,0,화질 개선좀 부탁드립니다 13500짜리 이용중인데 화질설정 고화질 되있고 5g사용중인데 중간중간 화질이 깨지는 현상이 너무 자주 생기네요 1시간짜리 보면 30분은 깨진화면으로 보고 30분만 정상화면으로 봅니다 이거 개선안되면 걍 왓챠로 넘어감 ㅋㅋ 볼이유없음 넷플릭스,ios
Netflix,뱅드림 재밌긴 한데,2022-03-13 11:27:35+09:00,5,0,쌈마이웨이 보고싶어요,ios
Netflix,이쁜재벌정사장,2022-03-11 22:26:03+09:00,5,0,자막 수정 언제 할꺼예요? 아예 작거나 크거나 선택이 안되는건 넷플뿐이라구요 웨이브나 티빙 자막 좀 보시라구요,ios
Netflix,ㅅ1ㅂ,2022-03-11 21:12:27+09:00,2,0,"한 편 보고나서 그 편에서 다음화가 넘어가면 다음편에서 끌어서 보기, 오프닝 넘기기 할 시 처음 화면으로 넘어가는 현상  몇몇 영상이 그럽니다. 고쳐주십쇼.",ios
Netflix,익(?),2022-03-11 17:42:47+09:00,1,0,왜 몇달이지났는데 안나오냐 제발 나오게 해주셈,ios
Netflix,2%부족하다,2022-03-11 11:54:31+09:00,5,0,iOS 13에서도 볼 수 있게 해주세요! 업그레이드하면 휴대폰이 너무 느려져서 예전 버전 유지하고 있는데요. 13으로도 휴대폰 사용하는데 아무문제 없고 심지어 금융권도 모두 지원하는데 iOS 업그레이드 안하면 넷플 실행이 안되는건 너무한 처사 같습니다. 다양한 유저들을 수용해주기 바랍니다!,ios
Netflix,아람미,2022-03-10 22:18:41+09:00,5,0,진짜 응답하라 1988 한 번만 다시 올려 주시면 안될까요🥺🥺,ios
Netflix,케텍스,2022-03-10 09:34:28+09:00,5,0,돟아,ios
Netflix,ㅇㅇㅇㄱㄱㄱㄱㄹㄹㄹㄹㄹ,2022-03-10 09:20:06+09:00,1,0,로그인이 안된다 해결좀 해라,ios
Netflix,robot0910,2022-03-09 22:29:16+09:00,4,0,커맨드 키에서는 방향키를 이용하여 건너뛰기 할 수 있다고 되어있는데 실제로 작동하지 않네요. 이 버그에 대해서 수정해주시면 감사하겠습니다.,ios
Netflix,ndkajxhx,2022-03-09 19:32:26+09:00,5,0,진격거 내놔…,ios
Netflix,이거좀고쳐주세요,2022-03-09 18:11:14+09:00,5,0,응답하라 시리즈 재계약 해주시면 안될까요ㅜㅜㅜㅜㅜㅠㅠㅠㅠㅠㅠㅜㅜ보고싶은데ㅠㅠ,ios
Netflix,슈퍼셀 제발 쫌,2022-03-09 18:06:08+09:00,4,0,"제가 레이디버그를 영어로 보는데 어떤 시즌은 영어 음성이 있고 어떤 시즌은 없더라고요, 그래서 모든 시즌 다 영어 음성이 있었으면 좋겠어요. 게다가 레이디버그 시즌이 더 있는 걸로 아는데, 넷플릭스에는 다 없어서 아쉬워요. 레이디버그 모든 시즌 영어 음성, 레이디버그 시즌 추가! 이 두 가지 제발 개선해주세요!!!",ios
Netflix,그대여울지말아요,2022-03-09 16:29:03+09:00,3,0,제발 설강화 조무올려주세요 헤외는 올라왔담서 왜안올라오나요 넷플릭슨 는배,ios
Netflix,나로 말 할 것 같으면 비~밀,2022-03-08 14:21:36+09:00,2,0,중간에 화질 깨지는거 좀 고쳐주세여~~,ios
