APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
SNOW 스노우,아기토깽스,2022-03-28 18:34:57+09:00,5,0,친구와 같이 찍는데 너무 잘나와요 근데 1명만 할수있는개 많지만 그래도 너무 좋아요 별 5개 드립니다~^^,ios
SNOW 스노우,핫팻,2022-03-28 17:45:29+09:00,1,0,렉인가요? 해킹같은건가요? 어플켜자마자 분홍 점박이 화면 뜨면서 지지직거려서 너무 놀랐어요 무서워서 얼른 폰 껐다 켰어요 어플 다시 켜기가 무서운데 어떤 현상인가요,ios
SNOW 스노우,과나코상,2022-03-28 15:22:54+09:00,3,0,gif파일 잘쓰고 있었는데 없어졌네요? 왜 없어진거죠?? 다시 만들어주세요~~,ios
SNOW 스노우,어려어어터러러,2022-03-28 08:01:08+09:00,1,0,예수천국 불신지옥,ios
SNOW 스노우,순데렐라공주님,2022-03-27 15:01:57+09:00,3,0,너무 다른 사람같은데 저처럼 보였으면 좋겠어요 슬라이드바같은걸로,ios
SNOW 스노우,헌긍리,2022-03-26 22:48:46+09:00,5,0,"제가 귀신을 보는데 짧은 머리에 남자귀신이 제 집 현관문에 서있거든요 음 키가 약 168cm정도 되는데 그 여기에 귀신도 찍힌다는 말이 있어서 해보니까 진짜 되네요. 그래도 귀신은 자기 보는사람 재밌어서 따라가니까, 절대 장난이라도 아는체 안 하셨으면 합니다. 근데 잘 안 찍히더라고요. 빠르게 지나가면 잘 안 되서.. 그래도 뭐.. 자기집에 귀신있나 하면서 궁금해서 하시다 귀신붙지 않으시길 바래요",ios
SNOW 스노우,zmakzm,2022-03-26 19:43:10+09:00,1,0,요즘 자주 자기 혼자 꺼져요 사진 찍었는데 저장도 안 되고 내 사진 확인하기도 전에 혼자 꺼져버리고 사진을 찍을 수가 없네요,ios
SNOW 스노우,레옹1004,2022-03-26 01:45:24+09:00,3,0,사진을 찍고 저장하거나 공유해서 전송하려고 하는데 너무 자주 바로 앞에 찍었던 사진이 저장되거나 전송되는 경우가 많습니다.. 빠른 시일내에 수정해주세요,ios
SNOW 스노우,ㄱㄹㅍㅂㅁㅋ,2022-03-25 14:22:53+09:00,5,0,어플은 좋은데 VIP체험 하다가 깜빡하고 구독취소를 안했네요.. 청약철회 안되나요?,ios
SNOW 스노우,어야ㅔㄴ우어ㅐㄴ75;8,2022-03-25 00:22:53+09:00,3,0,"기능들 다 잘쓰고 있는데 최근에 렉이 너무심해졌어요 앱켜면 자동으로 광고떠서 인터넷 연결되는것도 너무 불편하고요, 그렇게 인터넷 켜졌다 어플로 다시 돌아오면 렉이너무심해요. 프리미엄이든 광고든 나오면 다 볼수는있는데 광고때문에 어플자체 문제가 생기는건 좀 불편하네요",ios
SNOW 스노우,유뮤르,2022-03-24 21:01:13+09:00,2,0,데이터 와이파이 써도 안 돼요….무슨일😭,ios
SNOW 스노우,ㅓ나낭나,2022-03-24 16:04:27+09:00,4,0,재미있네용,ios
SNOW 스노우,꽃의 여왕 플로라,2022-03-24 10:58:54+09:00,5,0,안녕하세요! 저는 4학년이고 아이폰7을 쓰고있습니다. 저는 아빠께 졸라서 이 앱을 깔았는데요! 사진만 찍을수 있는게 아니라 게임같은것도 할수있고 좀 못생겼던 얼굴이 예뻐지니까 기분도 좋아집니다!!! 근데 … 검색하는 기능만 더 넣어주시면 좋을것 같아요! 그래도 저는 매우 만족합니다! 이 글 읽으신 분들! 한번 깔아보세요! 그리고 인터넷이 않되도 할수있는 것들이 몇개 있어서 좋아요!!! 👍😁😁,ios
