APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",은구비커피,2022-04-01 10:57:39+09:00,1,0,여태 쓰던거라고 계속 티맵 썻는데 먹통도 심하고 초행길 시간날려먹는게 너무 많네요. 삭제합니다.,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",iphone13loki,2022-03-31 20:15:44+09:00,4,0,통화중 티맵 사용하면 신호 과속 카메라 같은 경고음이 안 울려서 불편한데 설정을 변경 할 수 없나요?,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",보그너1,2022-03-30 22:21:18+09:00,3,0,아이폰 13 pro 유저입니다  보험가입 앞두고 점수 열심히 올리고 있는데 힘빠집니다 ~~진정 이상해졌어요.제발  바로잡아주세요,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",Henric J,2022-03-30 16:05:41+09:00,3,0,"안내음이 나올때 자동으로 음악 음량을 줄였다가 안내음이 끝나면 다시 켜졌는데,  과속 신호음이 울리고 난 이후에는 다시 음량이 커지지 않는 문제가 계속해서 발생하고 있습니다 음량을 다시 키우기 위해 티맵을 강제종료하면 다시 노래 음량이 커지는걸 봐선 과속 신호음(땡땡땡 거리는 소리)가 일정 시간 이상 울리면 계속 음량을 줄이고 있는걸로 판단됩니다. 오류 수정 부탁드립니다.",ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",티맵은진리쥬,2022-03-30 10:59:06+09:00,5,0,자주가는곳은 주소말고 알아보기쉬운 지명으로  본인이 직접 바꿀수있는 기능 없나요?  그래야 한눈에들어오고 찾기 쉬울꺼같아서요,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",제이슨최태원,2022-03-29 18:11:55+09:00,3,0,"iOS 15로 올리고 이후에는 음악재생중에 누구서비스 실행하면, 누구서비스를 실행할수없습니다라고 나옵니다 항상 수동으로 음악재생을 멈추고 누구서비스를 실행하면 되구요 그리고 다시 음악재생해야합니다 ios14이전버전에서는 일시정지안하고해도됐는데 업데이트하고 퇴보했네요",ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",상하이상,2022-03-29 17:13:22+09:00,5,0,음량자동조절 하면 고쳐진다고 연락주셨는데 업뎃해서 그런지 정상작동합니다 전에 오류나서 먹통됐을때 문자 받으면 먹통됐어요 차는 bm입니다  어제 오늘은 정상작동합니다,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",애플78,2022-03-29 16:07:45+09:00,4,0,업데이트후 카플레이 화면에 차량 아이콘이 너무 큽니다. 예전처럼 바꿔주세요~,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",휴야아,2022-03-28 21:26:58+09:00,2,0,이전까지 티맵+음악스트리밍 앱(멜론 등..) 같이 사용해도 주의 구간 및 속도조절 음량조절이 자동으로 됐지만 며칠전 부터 'NUGU'를 통해 사용하지 않으면 음량조절이 안된다고 하더라구요..   그래서 시스템에 따라 사용해봤지만 불편하고 호환되지 않는 부분도 있어 해당 부분에 대해 이전과 같은 상태로 전환 하거나 보완이 필요 할것 같습니다 해당 부분 확인 부탁드립니다,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",paek0102,2022-03-28 18:15:43+09:00,3,0,"운전점수평가시 감점요인이 급정거, 과속, 급과속인데 운전중 교차로진입전 노란불로 바뀔때 지나가지않고 40-50속도인데도 서면 급정거로 표시되어 감점이되는데 맞지않는것같습니다 또는 앞차가 급히서면 서야맞는데 그것도 급정거로 표시되는것 또한 맞지않는것 같습니다 교차로를 인식해야 할 것 같습니다",ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",dddㅈㄱㅈ1146,2022-03-28 07:44:58+09:00,1,0,주소 검색창을 두번 터치해야 검색 가능해서 불편  네이버지도로 갈아탑니다,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",커피중독비글,2022-03-27 13:03:45+09:00,1,0,음량 자동조절 먹통 되어서 음악소리가 아에 죽어버리네요...,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",윈쳐솔더,2022-03-27 11:06:46+09:00,2,0,볼륨자동조절 오류 고쳐지기 전까지는 안쓸것같네요,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",에세숑,2022-03-27 10:43:14+09:00,3,0,껐다켜면 잠깐 안내가 나왔다가 또 지나면 소리가 안나오네요.,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",Walker's Join,2022-03-26 17:22:21+09:00,4,0,안녕하세요. 혹시 SKT 통신사를 사용 하고 있지 않은 다른 통신사를 이용 하고 있는 사람도 TMap 기능을 사용 할수 있나요? 아니면 일부 제한 같은게 있나요?  그리고 회원가입 안하고 사용은 못하나요?,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",쏘빈이야,2022-03-26 16:33:35+09:00,5,0,카플레이로 티맵 구동 후 영어 검색만 가능하고 한글로 바꾸는 버튼이 없습니다.. 수정 부탁드립니다  쉐보레입니다,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",KWANISTAR,2022-03-26 12:00:41+09:00,1,0,그 놈의 선택 뭐 어쩌구 저쩌구 그만 좀 물어봐  네비의 기본이나 충실할 것이지 바쁜 아침부터 어플도 안 켜지게 만들어놓고 뭔 계속 광고성 수신 이런건 왜 물어보는겨,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",세금이 부족한게 아니라 도둑이 많은거다,2022-03-26 01:52:00+09:00,2,0,"좋았는데, 뭔 오류 때문인지 몰라도 볼륨자동조절이 안됨.",ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",3000원 벌려고 일부러 그런건 아니지?,2022-03-26 00:58:14+09:00,5,0,애플뮤직 쓰는데 아리랑도 대화하고 싶거든요 귀사에 다른 음악 서비스가 있어서 일부러 불편하게 두시는건지 아니면 곧 업데이트 하실 생각이 있으신지요 정들어서 쓸려는데 노래도 중요한 사람이라 갈아탈지 고민중입니다,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",까칠한 똥꼬,2022-03-25 21:05:46+09:00,4,0,어제 업데이트후  카플레이 초기에 잠깐 소리가 나오다가 안나와요 점검해주세요,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",구냥구냥,2022-03-25 21:00:19+09:00,1,0,"빨리고쳐주세여,,,,,,,,,,🤯😵‍💫",ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",TitediosJW,2022-03-25 20:48:46+09:00,3,0,카플레이 연결해 HUD로 경로 나오게 해주세요,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",ssongjy,2022-03-25 18:10:45+09:00,1,0,2일 전 9.4.0 업데이트 이후 음악볼륨자동조절 기능에 문제가 있습니다  처음에는 음성 안내시 음악볼륨이 줄어들고 안내가 끝나면 복귀 되는데 시간이 좀 지나면 음성 안내 후 줄어든 음악볼륨이 원상태로 돌아오지 않습니다 앱을 종료 후 재실행하면 처음에는 정상동작 하다가 똑같은 증상이 나옵니다 앱을 삭제 후 재설치해도 마찬가집니다  운전 중에 자꾸 신경쓰여서 버그수정 될 때까지  카카오내비쓰려고 합니다,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",jwk568,2022-03-25 17:35:10+09:00,1,0,티맵 음성이 나오면서 음악볼륨을 낮춰놓고 멘트 끝나고 나서도 음악볼륨을 원상태로 되지 않습니다,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",이팅사용자,2022-03-25 17:13:34+09:00,2,0,업데이트전에는 내비소리랑 노래소리 잘나왔는데 업데이트하고난후에 노래소리잘나오다가 안내음성에 묻힌건지 자동조절되서 소리가다시안켜지네요ㅠㅠ,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",mon skada,2022-03-25 16:53:35+09:00,1,0,업데이트 이후 음악 볼륨이 작아진 후 원래대로 돌아오지 않네요... 왜이러는거죠??,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",하워드 로크,2022-03-25 14:42:16+09:00,1,0,"업데이트가 사용자를 위한게 없는것 같아요. 그전에는 잘되던 기능이 업데이트 하면 꼭 문제를 일으키니....이번에도 혹시나 했는데, 역시 ‘음성안내 먹통’으로 보답하네요. ‘음악볼륨자동조절 켜봐라’, ‘삭제 후 재설치…’, ‘차량 볼륨 설정 확인….’ 이런 식으로 사용자 무지로 몰지마시고, 확인해보세요. 하루이틀 써온게 아니라 다 확인해도 역시 오류네요.",ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",기본적인 유저,2022-03-25 13:07:40+09:00,5,1,"업데이트 후 카플레이 티맵소리만 조절이 따로 안됩니다. 음악소리와 네비게이션 안내음성이 따로 조정이 가능하였었는데 안됩니다. 기기는 아이폰 13프로맥스이고, 차량은 올뉴투싼입니다.",ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",syja6391,2022-03-25 12:20:17+09:00,4,0,"검색창(어디로 갈까요?)을 누르면 또다른 검색창(장소,주소,전화번호검색)을 또한번 클릭한후에 입력해야되서 급하게 주소를 찍으려고 할때 불편합니다.",ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",진명's,2022-03-25 11:56:22+09:00,3,0,카플레이시 안내 음성이 저음질로 나옵니다 음성 명령은 핸드폰 안켜도 정상 작동하네요 하나가 괜찮아 지면 하나가 이상해지네요;??,ios
"TMAP - 대리,주차,전기차충전,킥보드를 티맵에서!",잼듬ㅋ,2022-03-25 10:39:55+09:00,1,0,음악 들으면서 티맵 사용하다가 티맵에서 거리 안내음 나오면 음악 소리 줄어드는데 안내 끝나도 음악 소리 줄어든 상태에서 다시 안커짐 뭔짓했냐? ㅠㅠ 잘 하자..,ios
