APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
꿈의 집 (Homescapes),ㄴㅇㅇㄹㄹㄹ𖤐,2022-03-30 01:34:07+09:00,1,0,더이상 레벨이 없나봐요 몇번이나 레벨 더이상없어서 개발중인거같은데 개발중이면 어떻게든 이용자들에게 불편을 줘서 미안하다고 보상을 줘야하는거 아닌가요? 다음 레벨이 없어서 별은 못얻게끔하고 희안한 말도 안되는 게임 하라고 던져놓고 절대 못깨게끔 횟수 제한 뒀네요.. 현질 하라고밖에 안보여져서 정내미 떨어져요.. 진짜 요즘 너무 최악인거같아요,ios
꿈의 집 (Homescapes),평택왕자,2022-03-30 01:13:27+09:00,1,0,스트레스풀려다가 스트레스 이빠이쌓입니다 현질안하면 1판 깰려면 3일걸리는경우 종종있음 그러더가 현질하면 기가막히게 아이템안써도 쉽게 넘어갑니다 절대로하지마십쇼,ios
꿈의 집 (Homescapes),cusgebfiz,2022-03-30 00:35:10+09:00,1,0,아니 모자 다 획득 했는데 오류 나서 1개 획득 안될걸로 돼서 판 못 깼음;;;;;;;;;;;;; 아이템만 날렸잖아요.. 게임 재밌어서 몇 년째 하는데 이런 오류 때문에 화나요ㅠ 내 판 돌려주셈ㅜ,ios
꿈의 집 (Homescapes),ju_hee,2022-03-29 23:42:07+09:00,1,0,스파이 프로필이 사라졌어요 ㅡㅡ,ios
꿈의 집 (Homescapes),김교쓰,2022-03-29 17:31:00+09:00,5,0,친구의 추천으로 깔았는데 중독성이 미쳤네요 시험기간인데 ㅈ됐습니다,ios
꿈의 집 (Homescapes),분노쾅쾅,2022-03-29 10:54:40+09:00,1,0,게임내 코인으로 하트사면 돈만 빠져나가고 하트는 안들어올때가 있어요 아주 개빡칩니다,ios
꿈의 집 (Homescapes),mjmj3322,2022-03-28 23:50:50+09:00,1,0,"한 일주일 넘은듯 계속 접속 안됨 밑에 댓글처럼 양식 작성해서 제출해도 아직도 안됨 >>고객센터 메일 보냄  원하는 정보 전부 제출 , 버그 영상도 보냄  영상 길다고 안된다함 그러면서 정보를 더 달라고 계속 요구 고칠 생각은 안하고 원하는 정보 전부 제출했음에도 정보안줬으니 그렇게 할 수 없다는 이상한 말함 몇년째 해오던 게임인데 정떨어져서 지울예정",ios
꿈의 집 (Homescapes),분노한 라이언,2022-03-28 16:32:04+09:00,1,0,"기만하다 (欺瞞하다) [기만하다]발음듣기 deceive, delude  팀 토너먼트 우승 상금 18만 코인.. 팀원 10명이 함께 달성한 값진 1등.. but, 각자 돌아간 보상은 6천따리씩  where is our 12만 코인?  소비자 기만ですか。",ios
꿈의 집 (Homescapes),ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ;,2022-03-28 02:26:53+09:00,1,0,진짜 개 그지같음,ios
꿈의 집 (Homescapes),뭔리뷰쓰는데말이많아,2022-03-28 02:26:18+09:00,1,0,무슨 잔디 70개랑 거품 23개 깨라믄서 이동횟수 10번주냐? 이런 상도덕도없는 상노무새기들아 머리 오스틴마냥 돼버려라 야진짜 다시한번느낀다 이딴걸 게임이라고만든거냐시벌오스틴같은새기들 깨기존내힘들게만듳고선 무슨 잔디깎는데 별 세개씩 쳐먹냐 진짜 쳐부도나라걍 ㅉㅉ,ios
꿈의 집 (Homescapes),물티티티슈,2022-03-27 09:32:44+09:00,1,0,횟수 적당히좀 장난질해라,ios
꿈의 집 (Homescapes),기륀,2022-03-27 04:37:51+09:00,2,0,수년째 재밌게 하고있는 사용자입니다. 얼마전부터 한 에피소드를 다 완료하고 하루를 시작했음에도 불구하고  밤처럼 아예 집 전체가 어두워요.. 빠른개선 부탁드립니다,ios
꿈의 집 (Homescapes),비스케슈ㅠ,2022-03-26 21:21:59+09:00,1,0,내가 만든 몇년된 팀인데 몇주 안 들어갔다고 권한 이동이라니요??,ios
꿈의 집 (Homescapes),klhovew7,2022-03-26 11:06:58+09:00,3,0,얼음블록이 오류난 것 처럼 얇은 실로 보여서 불편해요,ios
꿈의 집 (Homescapes),신애기,2022-03-26 03:10:57+09:00,5,0,몇년째 만렙인데 게임 너무 어려운데 10회 안에 깰수 있게 만들면 어쩌라는거에요 4시간동안 한 레벨을 못깼어요 ㅡㅡ 이 게임 개발자도 못깰것 같은데요?  이딴식이면 앞으로 이 게임 접습니다  현질은 도대체 왜 했는지 의문ㅡㅡ,ios
꿈의 집 (Homescapes),reverse prime,2022-03-25 08:43:10+09:00,5,0,Nice works,ios
꿈의 집 (Homescapes),당장 원상복귀.,2022-03-24 04:23:37+09:00,1,0,저번에 샀는데 또 사라고 떠요 ㅠ 해결해주세요,ios
꿈의 집 (Homescapes),오수틴씨의 매력,2022-03-23 20:44:53+09:00,5,0,대머리는 오스틴씨의 매력입니다. 다시는 심으라는 말을 하지마십시오.,ios
꿈의 집 (Homescapes),썬8318,2022-03-23 06:59:34+09:00,5,0,겜이상한대요 ㅜㅜ플레이눌러도 안들어가요 게임버그인건가요?해결해주세요,ios
꿈의 집 (Homescapes),야양ㅇ양,2022-03-22 03:26:26+09:00,2,0,앱을 삭제하고 다시 깔려고 다운울 받으려하는데 다운이 계속 안된다 뜨네요,ios
꿈의 집 (Homescapes),mzzivwbdj,2022-03-21 17:01:17+09:00,3,0,업뎃도하고 삭제했다가 다시 깔아도 자꾸 오류 뜨고 안들어가져요,ios
꿈의 집 (Homescapes),씩씨기,2022-03-21 10:32:04+09:00,5,0,"시간 보내기 좋은 게임이고 재미도 있지만 난이도가 점점 말이 안 되네여ㅋㅋㅋㅋㅋㅋ 쿠기 17개 전화기 12개를 없애는데 주어진 횟수는 13번,, 한 큐에 두개씩 움직이는 전화기와 세번씩 쳐야 풀어지는 쿠기 묶음 4개, 총체적난국으로 없어지지도 않는 칸막이 까지^^ 나 좋자고 쓰는 아이템은 휘뚜루마뚜루  아묻다 개썅마이웨이 하며 아무대서나 터지고ㅋㅋㅋ 이런 게임하는데 어느정도의 현질은 필요하다 생각해서 나름대로 현질도 하는데 돈을 써도 안 되는것은 도대체🫥.... 예전 횟수를 복구 해달라는 욕심은 안 부릴테니 깰 수 있게는 해주세여,, 빡쳐서 뒷 목 당기니까요",ios
꿈의 집 (Homescapes),영영잌,2022-03-20 23:23:26+09:00,5,0,이거 버블 왜그래요? 버블인지 미사일인지 제대로 표현도 안되고.. 초심 찾아주시길 바랍니다ㅜ! 그리고 오스틴은 말이 항상 많아요 건너뛰기가 참 많은 도움이 되지만 그래도 무제한 하트 일 때 시간이 너무 아까운 마음이 듭니다.. 이 게임을 사랑하는 사람으로 말씀드립니다 번창해주세요~!~!,ios
꿈의 집 (Homescapes),jjhbbhg,2022-03-19 21:43:24+09:00,5,1,저번에 100넘었을 때도 갑자기 초기화되서 당황했는데 연동 안시켜서 그런가 해서 다시 페북이랑 구글 연동해서 잘 하고 있었어요 곧 1900인데 왜 또 초기화된거죠????? 진짜 개열받네...ㅡㅡ 아 짜증....,ios
꿈의 집 (Homescapes),skfktnncnnw,2022-03-19 19:26:05+09:00,4,0,아이템끼리 합쳐지질않아여 껏다켜도 무한반복이네요,ios
꿈의 집 (Homescapes),아핵짜증나,2022-03-19 18:23:09+09:00,1,0,내가 만든 길드인데 20일 안들어갔다고 마음대로 다른사람한테 권한 넘기는 어이없는 게임 니들이 뭔데 내가만든 길드를 맘대로 다른사람한테 넘김? 어이가업ㅎ네 현질 매번하고 레벨 6000일정도로 몇년 해왔는데 고작 20일 안들어갔다고 남한테 내 길드 넘어감 ㅋㅋㅋㅋㅋㅋㅋ 대 체 무슨권한이 있다고 지들 맘대로 ; 원상복구 시켜놓으세요,ios
꿈의 집 (Homescapes),딸기맛옥수수,2022-03-19 15:58:10+09:00,3,0,레벨이 1000훨씬 넘었는데 미니게임이 한번도 안나왔엉ㅛ 이게말이돼요????? 광고에서는 미니게임 보여주더만 전 코인이없어서 5회추가 이짓도 못하고있오요,ios
꿈의 집 (Homescapes),움먄,2022-03-19 12:02:11+09:00,1,0,구글 로그인 되어있었습니다 휴대폰 전원 껐다켜고 들어간 것 뿐인데 초기화 되어 있고 다시 로그인해도 소용이 없습니다. 마지막 레벨 5000 넘어있었습니다 어떻게 복구해야됩니까 진짜 화딱지나서 미치겠어요,ios
꿈의 집 (Homescapes),명장관우,2022-03-18 19:33:03+09:00,5,0,핵잼,ios
꿈의 집 (Homescapes),터치보정,2022-03-18 14:13:01+09:00,1,0,ㅡㅡ,ios
꿈의 집 (Homescapes),ymsaranghae,2022-03-18 12:52:12+09:00,3,0,제발 챔피언 토너먼트 좀 그만하면 안 될까요!!!!! 게임은 졸라 어렵게 만들어놓고 별도 안주고 그렇다고 보상이 많은것도 아니고 제발 이제 그만,ios
꿈의 집 (Homescapes),애옹애옹애옹이,2022-03-17 23:06:12+09:00,1,0,이렇게 사람을 열받게해서 현질유도하는 게임은 또 첨이네요 현질안하면 걍 아예 깰수가없음 오스틴 대머리인것도 개빡치고 캐서린 만나려면 모발이식이라도 하는 성의를 보여야하는거아닌가 개빡치네요 뭐이런 게임이 다있지,ios
꿈의 집 (Homescapes),우랴야럳,2022-03-17 23:00:14+09:00,1,0,몇년째 플레이하는 유저인데 업데이트 때문인지 뭔지 선물함에 하트 받아놓은거 있으면 하트 요청 못하게 막아뒀네요… 원래 요청은 아무때나 보낼수있었는데 ㅠㅠ  제발 수정해주세요 답답해 미치겠어요 이거 때문에 삭제하고싶음…,ios
꿈의 집 (Homescapes),rtyyurwqqqqeer,2022-03-17 12:03:37+09:00,5,0,Very good,ios
꿈의 집 (Homescapes),shshsbbc ccbx,2022-03-17 11:21:03+09:00,5,0,Very good,ios
꿈의 집 (Homescapes),ghifjdidkdndhududid,2022-03-17 11:17:23+09:00,5,0,Very good,ios
꿈의 집 (Homescapes),vvbbbbbbbbhhhhhhhhh,2022-03-17 11:14:36+09:00,5,0,Very good,ios
꿈의 집 (Homescapes),wrrrrrryyuuiopidee,2022-03-17 11:12:23+09:00,5,0,Very good,ios
꿈의 집 (Homescapes),tueieoeoreyryeydisis,2022-03-17 11:11:54+09:00,5,0,Very good,ios
꿈의 집 (Homescapes),hdueieiirroprepep,2022-03-17 11:10:14+09:00,5,0,Very good,ios
꿈의 집 (Homescapes),ㄹㄹㅎㅇㅎㅇㄴㄴㄹ,2022-03-17 01:49:20+09:00,5,0,이동횟수 왜 줄이신거에요 넘 적어요 그리고 먼 케이크만드는데만 별이 몇개가 드는거야 만드는건 걍 만들기 해서 1별만 쓰게하면 되지 굽기 프로스팅하기 합치기 장식하기 뭐시기뭐시기  결과적으로 케이크 하나 만든거잖아 힘들게 1레벨씩 깨서 얻은 소중한 별 쓰는거 짱나요 ㅡㅡ 전화걸기 마중나가기 이딴거에 별쓰는것도 너무 낭비같아요,ios
꿈의 집 (Homescapes),한주빠,2022-03-16 23:41:26+09:00,5,0,늘 새로운 기법과 종목을 공개하게 된 것은 매우 즐거운 시간을 가지게되어서 감사합니다,ios
꿈의 집 (Homescapes),초이88,2022-03-16 22:56:12+09:00,1,0,미니게임을 해야 별을 받고 게임 진행을 하는데 미니게임을 너무 어렵게 해놔서 별을 모을 수가 없어요. 현질도 해봤는데 게임 난이도가 뭣 같아서 도저히 깰 수가 없어요. 게임 깰 하트 모으려면 1개에 20분은 기다려야함 ㅋㅋ 휴.. 난이도 조절 좀 해주세여 그래야 게임 진행도 하고 재미도 잇져ㅠㅠ 진행이 안되니 곧 지울 예정,ios
꿈의 집 (Homescapes),환장한다오스틴,2022-03-15 05:27:06+09:00,5,0,아니 제발 정말 다 좋아요 재밌고 안질리고 근데 이동 횟수를 진짜 양심없게 주고 못 깨게 만들어서 오스틴이 자꾸 머리카락도 없으면서 머리 긁적 거리면서 쳐다보면 진짜 욕 나오고 다 부셔버리고 싶어요 머머리가 생긴 것 도 못생겨서 늙어 빠진 주제에 자꾸  한숨 푹푹 쉬고 저를 보는데 정말 힘들어요,ios
꿈의 집 (Homescapes),ㄷㅅ뮤,2022-03-15 01:47:59+09:00,3,0,불러오는 중에서 이틀째 안 넘어가는데 이거 어떻게 해야하나요?,ios
꿈의 집 (Homescapes),인스타개짜증나진짜,2022-03-15 00:22:12+09:00,1,0,결제한 적 없는데 왜 계속 한 번씩 삼천육백 원 이정도씩 빠져나가세요? 가난한 자취 고딩 돈 뺏어가니깐 좋으세요? 진짜 열받네요 메일 주소라도 알려주세요 제 돈 돌려주세요 육천 원 넘었어요  저 님들 때문에 밥도 굶어야 해요  급식비는 지원이라서 급식 많이 먹고 집에서 굶어요 돈 돌려주세요 오스틴 씨 ㅠ,ios
꿈의 집 (Homescapes),xoxo6693,2022-03-15 00:07:56+09:00,1,0,너무작어요 ㅋ 미친거같애영 ㅠ,ios
꿈의 집 (Homescapes),습빈잉,2022-03-14 20:48:45+09:00,4,0,미니게임 하다가 갑자기 멈춰용;;,ios
꿈의 집 (Homescapes),호구 되지말자~,2022-03-14 19:57:31+09:00,1,0,난이도 높을수록 횟수 줄여놔서 답도없습니다 ㅋㅋ현질유도하게끔 만들어놧네요 60레벨부터 답도없음 ㅡㅡㅋ,ios
꿈의 집 (Homescapes),쉬엔,2022-03-14 18:56:51+09:00,5,0,근데 스토리가 넘 길어용 ㅎ,ios
꿈의 집 (Homescapes),ggaeunws,2022-03-13 22:44:39+09:00,1,0,업데이트를 했는데 오류가 계속 떠서 접속을 못하고 있어요. 빠른 처리 부탁드립니다.,ios
꿈의 집 (Homescapes),빨랑 고쳐줘여,2022-03-13 22:18:01+09:00,5,0,혹시 접속오류 나는 분들 여기 앱지원 누르면 사이트 들어가지는데 거기 제일 첫번째 how can i contact support 누르시고 쭉 내리면 초록밑줄 form 았어여 그거 채워서 제출하면 금방 고쳐줌 즐겜^^,ios
꿈의 집 (Homescapes),굿노트유저,2022-03-13 20:18:14+09:00,4,0,거품터지는거 모양이 너무 이상해요.. 이건 업뎃 전이 나은듯합니다 게임 시작할 때 오스틴이 안나와서 좋아요,ios
꿈의 집 (Homescapes),선영미,2022-03-13 19:23:52+09:00,3,0,업데이트 하라고 돼있는데 업데이트 버튼 누르면 돌아가다가 다시 업데이트버튼으로 나와요 왜이래용???? 빨리고쳐주세요,ios
