APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
네이버 웹툰 - Naver Webtoon,ㅁㅇㄷㄹㅁㅋㄴㅎㅂㅁㅌ,2022-03-29 23:18:57+09:00,1,0,유료결제 해서 미리보기 하려는데 왜 앱으로보기 강제하냐. 자유를 침해하는 공산당식 마인드냐?,ios
네이버 웹툰 - Naver Webtoon,무적냥,2022-03-29 21:20:56+09:00,1,0,로드를 시도도 안하고 그냥 흰화면만 나오는 경우가 많아요.  그 상태에서 MY아무리 클릭해도 안되고 다른 탭 갖다오면 로드됩니다.  너무 자주 발생하는데 테스트는 하는건지…,ios
네이버 웹툰 - Naver Webtoon,ㅋㅋ3932,2022-03-28 23:33:42+09:00,2,0,웹툰하나보고 메인페이지로 돌아오면 몇초간 터치 안먹힘 ㅋ 참고로 12프로임 ㅋ,ios
네이버 웹툰 - Naver Webtoon,흔들린 우동,2022-03-28 22:53:50+09:00,4,0,"관리자님 안녕하세요 약 2년째 꾸준히 네웹을 이용하고 있는데요 웹툰 다음화를 미리보기 위해서는 쿠키 두개를 줘야하잖아요 그런데 아직 학생이다 보니까 쿠키오븐에서 할 수 있는게 별로 없어요ㅠ 거의다 회원가입,구매를 해야 쿠키를 주는 방식이라 쿠키 얻기가 너무 힘들어요🥺",ios
네이버 웹툰 - Naver Webtoon,고요속의바다,2022-03-28 15:12:56+09:00,4,0,개선해주세요,ios
네이버 웹툰 - Naver Webtoon,su ddu,2022-03-28 01:10:25+09:00,5,0,너무 다 좋은데 웹툰 읽음표시를 삭제할수 있는 기능을 만들면 좋을것 같아요ㅠㅠ 정주행할때나 가끔 잘못 누른 회차때문에 종종 불편해서 읽음표시 없앨수 있으면 좋겠어요. 네이버 지식인보니까 읽음표시 없애는 기능을 원하는 사람들도 꽤 있는것 같은데 계속 기능이 안생기네요ㅠㅠ,ios
네이버 웹툰 - Naver Webtoon,찡긋큐티러블리붐,2022-03-28 01:03:17+09:00,5,0,조학,ios
네이버 웹툰 - Naver Webtoon,기마나쟈ㅓㄱㅎ폼,2022-03-27 19:37:41+09:00,1,0,제가 삼성증권 구독하고 사진 보냈는데 지급이 안됩니다 빨리 고쳐주세요,ios
네이버 웹툰 - Naver Webtoon,다운로드가 안 돼ㅐㅐㅐㅐ,2022-03-27 09:40:27+09:00,5,1,무료쿠키를 할 때 분류 돼 있었는데 왜 지금은 그게 없어졌죠? 편했는데 이제 쿠키 많은 순 이런식으로 밖에 없네요;;,ios
네이버 웹툰 - Naver Webtoon,수퍼쉘 노잼,2022-03-26 22:55:23+09:00,5,0,ㅎ이,ios
네이버 웹툰 - Naver Webtoon,자동스크롤,2022-03-26 22:41:18+09:00,4,0,볼때마다 네이버웹툰은 다좋은데 자동스크롤 기능이 추가되었으면 좋겠네요ㅠㅠ 그것만 있으면 완벽할것 같아요ㅠ,ios
네이버 웹툰 - Naver Webtoon,로여츄ㅓ유처너천,2022-03-26 18:17:31+09:00,1,0,개별로임 진짜 네이버가 미쳤나 업뎃하기 전이 더 훨 나음 마이 들어가면 지금볼이랑 전체 나뉘는것도 별로고 무료쿠키 들어갈때도 잡다하게 만들어서 진짜 원래대로 바꿨으면 좋겠음,ios
네이버 웹툰 - Naver Webtoon,던던댄스 ㅋㅋㅋ,2022-03-26 00:10:07+09:00,5,0,넘 넘 재밌음,ios
네이버 웹툰 - Naver Webtoon,아니내가왜,2022-03-26 00:09:33+09:00,1,0,무료쿠키 하로 갔는데 구독 하고 스크린샷 찍어서  보냈는데 구독하러가기 먼저 수행하세요 라고 다꾸 떠서 무료쿠키가 안 받아져요ㅡㅡ,ios
네이버 웹툰 - Naver Webtoon,ㄴㅈㅋㅈㅁㅁㅂㅋㅇㄹㄹㅇㅊㅈㅇㄷㅉ,2022-03-25 19:23:38+09:00,5,0,존잼ㅁ,ios
네이버 웹툰 - Naver Webtoon,ㅛㅗㄱㅇ쵼ㅊ,2022-03-25 19:23:26+09:00,5,0,히위트가 있어,ios
네이버 웹툰 - Naver Webtoon,올레드가 좋더라(?) 😎,2022-03-25 15:04:33+09:00,5,0,최고,ios
네이버 웹툰 - Naver Webtoon,브라보벨로,2022-03-25 09:50:16+09:00,3,0,전엔 안 그랬는데 왜 그러는거죠?.. 너무 불편합니다.,ios
네이버 웹툰 - Naver Webtoon,포함함함,2022-03-25 03:16:55+09:00,5,0,웹툰 소장하는건 시리즈에서 하라고 하는데 웹툰은 댓글도 봐야합니다…ㅠ 아이폰도 웹툰 앱에서 소장 가능하게 해주세요🙏,ios
네이버 웹툰 - Naver Webtoon,대세는감자면,2022-03-25 02:13:16+09:00,5,0,웹툰을 정말 좋아하는 사람으로서 웹툰 볼때 작가의 다른 작품들이 궁금할 때가 많은데 네이버앱으로 들어가 웹툰볼때는 작가 이름 터치하면 자동으로 검색이 되어지는데 네웹어플은 그게 안돼서 너무 불편합니다. 개선되어지면 더더욱 좋을 것 같습니다!,ios
네이버 웹툰 - Naver Webtoon,날아라판떼기,2022-03-24 17:50:37+09:00,4,0,그림체도 좋고 내용도 재미있습니다,ios
네이버 웹툰 - Naver Webtoon,카고수,2022-03-24 14:57:18+09:00,5,0,싸움독학 개꿀재,ios
네이버 웹툰 - Naver Webtoon,ㅏ나ㅏ부ㅡ즈아납,2022-03-24 14:53:02+09:00,5,0,무료쿠키 매주 한번씩은 생기더니 이젠 몇주 지나도 생길기미가 보이질 않네요 ㅋㅋ… 14세 미만 이면 할 수 있는 무료 쿠키도 없고요 진짜 앱삭 할뻔 했습니다,ios
네이버 웹툰 - Naver Webtoon,ㅏㅗ더캐큐자제누터카캨,2022-03-24 13:32:37+09:00,1,0,아니 회원가입하면 준대서 했는데 쿠키가 안 들어와요 이건 뭐 어떻게 해야되나요,ios
