APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
"사람인-인턴, 신입의 취업부터 경력직 이직 커리어까지",파냐파냐파,2022-03-29 03:58:12+09:00,3,1,쓸데없는 알람을 계속 띄워놔서 무슨 그라운드? 앱을 깔도록 유도. 앱을 깔지않는 이상 알람이 사라지지 않는군요.. 앱 홍보창을 닫은 뒤에 뒤로가기를 누르면 또 그라운드 앱 홍보 창만 뜸.. 그리고 연락처 요청 거절할 때 거절사유로 어떤 선택지를 눌러도 직접입력이 뜨는 것도 이상하고.. 거절하려면 또 컴을 따로 켜야하나요?ㅠ버그가 좀 많은가보네요..,ios
"사람인-인턴, 신입의 취업부터 경력직 이직 커리어까지",녹색우주괴생명체,2022-03-28 14:33:32+09:00,2,0,상세요강을 보려고 두 손으로 확대하면 비율 다 망가짐. 다른 취업 플랫폼 앱들은 스무스한데 유독 사람인만 핀치줌에 약함.,ios
"사람인-인턴, 신입의 취업부터 경력직 이직 커리어까지",ad98360,2022-03-26 22:38:23+09:00,1,0,"평소처럼 잘 쓰고 있었는데, 오늘 한 번 튕긴 이후로 계속 실행이 안되네요. 사람인 로고만 나오고 저절로 앱이 종료가 됩니다. 문제점이 무엇인지 판단 후에 복구 빨리 부탁드릴게요.",ios
"사람인-인턴, 신입의 취업부터 경력직 이직 커리어까지",sks5463,2022-03-26 17:54:57+09:00,5,1,잘 이용하고 있었는데 어제 저녁부터 어플 접속 자체가 안됩니다 ㅠㅠ,ios
"사람인-인턴, 신입의 취업부터 경력직 이직 커리어까지",달빛닊기,2022-03-25 09:32:33+09:00,3,1,어제까지는 느리기만 하더니 오늘부터는 사람인 로고 화면에서 바뀌질 않다가 꺼져요 ㅠㅠ,ios
"사람인-인턴, 신입의 취업부터 경력직 이직 커리어까지",프로불편러소비자1인,2022-03-24 13:07:45+09:00,1,1,사람인 로고에서 멈추고 튕기네요 아이폰 12 프로맥스 사용중입니다,ios
"사람인-인턴, 신입의 취업부터 경력직 이직 커리어까지",__---__,2022-03-23 03:57:27+09:00,1,0,너무 느린건 기본이고 오류때문에 이력서랑 기본인적사항을 적을 수가 없음 대학 18년도 입학 22년도 졸업이 자꾸 옳지 않다고 입력조차 안됨  뭘하란건가요;,ios
"사람인-인턴, 신입의 취업부터 경력직 이직 커리어까지",하트키스님 .*✧ ෆෆෆ,2022-03-21 18:55:00+09:00,5,0,원하는 근무 조권 경력직 신입직 다 구분돼서 볼 수 있어서 정말 편리하고 무엇보다 지역별로 원하는 직업을 찾을 수 있어서 유용하게 잘 쓰고 있습니다 항상 발전하는 모습 보여 주세요 감사합니다 하트하트 ෆෆෆ,ios
"사람인-인턴, 신입의 취업부터 경력직 이직 커리어까지",누어럴랑ㅇ,2022-03-17 22:52:10+09:00,5,0,이력서 자격 학력들 저장이 안돼요,ios
"사람인-인턴, 신입의 취업부터 경력직 이직 커리어까지",딸들아빠,2022-03-17 15:25:21+09:00,1,0,입사지원서 이력서 다운로드 시 오류발생 - 아이폰12pro,ios
