APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
전략적 팀 전투: 리그 오브 레전드 전략 게임,ㅗㅗㅡㅗㅡㅗㅡㅗㅡㅡㅗㅗㅡ,2022-03-30 04:10:59+09:00,1,0,증강체 고르는 단계에서 오류 떠서 다른 플레이어는 증강체 3개로 겜 하는데 나는 2개로만 겜 해서 걍 서렌치고 나왔다. 이 외에도 나갔다 들어오면 화면버그 걸려있고 그냥 버그 덩어리 게임이다. 이럴거면 그냥 버그로만 게임 만들으셈ㅋㅋㅋ,ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,aisbrmcjxbzyz,2022-03-30 02:11:38+09:00,1,0,확률 조작하는거 개티나 러지들아ㅋㅋ누굴 바보로알아?억까 개하네ㅋㅋㅋㅋㄴㄷㅇㅁㅇㅂㅈㅇㅅㄱㄱㅎㄱ ㅂㅌㅇㅈㅇㅂㄹㄷㅋㅋㅋㄴㄷㄱㄱㅈㅂㅁㅈㅇㅅㅁㄲㅎㅅㅈㅇㄲㅇ,ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,롤체 어매,2022-03-30 00:21:56+09:00,1,0,개발자 어매들아 너네 다 뒤졋냐 좆버러지년들 에휴 꺼져라 그냥 병신들아,ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,장난질에 당했어,2022-03-29 20:54:24+09:00,3,0,"진짜 재밌고 다 좋은데 장난질이 너무 심합니다. 장난질이 3성 뜨는데 유닛 하나가 부족했는데 70원 정도를 쓰고도 단 하나도 나오지 않았다는 점이 그 이유입니다 심지어 준비가 2코,3코 유닛 1마리씩이였기때문에 더 짜증납니다",ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,llililllil,2022-03-29 13:45:16+09:00,1,0,전투 대기중좀 안뜨게해줘요 무슨 게속 뜨고있어,ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,백석동 쓰나미,2022-03-29 09:33:17+09:00,1,0,요들 버그로 졌어요 보상해주세요,ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,야두누,2022-03-29 01:21:37+09:00,5,0,아무리 잘해도 ㅈ같은 운빨겜이네 이래서 라이엇이 ㅈ망겜이지 ㅋㅋ,ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,rkpwn peme,2022-03-29 01:05:31+09:00,1,0,",, 아무도 이즈를 안쓰는데 5라운그 갈때까지 이즈 1개가 2성을 못만드는건 내가 운이 안 좋은건지 확률이 개노답인지 모르겠네",ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,폐인유저,2022-03-28 22:58:57+09:00,5,0,너무 좋은데 로그아웃이 자주 되서 아이디 계속 치는갓이 불편합니다 그것 말고는 게임 재밌기 하고 있습니다,ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,초로옥 뿔보,2022-03-28 21:40:24+09:00,2,0,"프로2세대, 에어에서도 적용되는 60프레임이 왜 프로 5세대에서는 안되는건가요 ?  30프레임을 보려고 150만원을 쓴게 아닌데…",ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,!@ㅋㅌㅊㅍ5060,2022-03-28 14:38:43+09:00,1,0,한번씩 롤체하다보면 핸드폰 전체가 극심한 렉이걸리고 폰을 재부팅해야지 돌아옵니다. 그리고 게임중 화면을 나갔다와 재접속할시 다시 게임하는동안 계속 화면 중앙에 글씨가 떠있는 오류가 있습니다,ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,롤체줫망겜,2022-03-28 13:51:07+09:00,1,0,겜 제대로 만들어요 계정 정지먹어서 다른계정으로 돌리려니까 로그아웃도 안시켜주고 이용정지라고만 계속하면 뭐 어떻게 하라고 ㅋㅋ 귀찮게 지웠다 깔아야하잖아 메인화면에 로그아웃 버튼좀 만들어주세요~^^,ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,힘들다 많이,2022-03-28 05:43:38+09:00,1,0,유튭 쳐 보면서 하는데 뭔 인터넷 연결 이래 시바 다 잘 돌아가는데 ㅡㅡ 몇번 종료 하고 다시 켜도 그모양이고  다시 깔아도 그 모양이네 시바꺼,ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,1점잘안줌,2022-03-27 22:31:23+09:00,1,0,말만 랜덤이지 다 처 짜여있음 누구만 잘뜨게 설정한듯 버러zi 게임,ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,두부는콩,2022-03-27 15:53:28+09:00,1,0,언제까지 스마트폰 사이즈로 할거에요  22년도 많이 갔는디,ios
전략적 팀 전투: 리그 오브 레전드 전략 게임,겜쳐올기,2022-03-27 15:48:11+09:00,5,0,Pc롤에서는 되게 재밌게 했는데 로그인 할려면 자꾸 서비스 오류라고 떠요,ios
