APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
화해 (8년 연속 1위 화장품 뷰티 앱),sssdffgghh,2022-03-24 00:15:07+09:00,3,0,한눈에보여서 편했는데 사라진거같아서 아쉬워요,ios
화해 (8년 연속 1위 화장품 뷰티 앱),zziunzzi,2022-03-11 15:15:34+09:00,3,0,쿠션 하나를 구매했는데 매장에 직접가서 사게 되서 주문을 취소하고 환불받으려고 하는데 어떻게 해야하는지 모르겠어요,ios
화해 (8년 연속 1위 화장품 뷰티 앱),와ㅏㅏㅏ랄랄,2022-03-09 03:43:28+09:00,2,0,갑자기 요근래 렉이 굉장히 걸리네요? 참고로 다른어플은 전혀 렉걸리지않아요.. 상품 볼려고해도 렉때문에 안봐지고 장바구니 보는것도 힘들어요 이거진짜 제발 고쳐주세요,ios
화해 (8년 연속 1위 화장품 뷰티 앱),잼잼은 귀여워,2022-03-02 20:43:53+09:00,4,0,마이페이지에 찜한상품이 어디있나요..? 즐겨찾기엔 성분 제품 브랜드밖에 없어서요,ios
화해 (8년 연속 1위 화장품 뷰티 앱),세연_:),2022-03-02 14:52:38+09:00,5,0,꼼평단 당첨 됐는데 리뷰는 어디가서 쓰나요?? 제품오면 원래 제가  쓰던 제품 리뷰쓰듯이 하면 되나요?? 다른방법으로 해야하나요,ios
화해 (8년 연속 1위 화장품 뷰티 앱),ㅏㅐㅐㅣ,2022-03-01 01:27:44+09:00,2,0,배송 운영 현황 못보냐’?,ios
화해 (8년 연속 1위 화장품 뷰티 앱),shzhsenb,2022-02-27 22:55:15+09:00,5,0,앱 너무 편리하고 좋아요 제품같은 것들을 제가 따로 알아봐서 추리지 않아도 다 정리되어 있어서 보기도 편해요!,ios
화해 (8년 연속 1위 화장품 뷰티 앱),최강잇팁,2022-02-24 00:33:29+09:00,2,0,아니 리뷰를 봐야 좋은지 안좋은지 알지 왜 이걸 잠가놓는거임 진짜 노 이해;;,ios
화해 (8년 연속 1위 화장품 뷰티 앱),firstuni,2022-02-19 07:52:41+09:00,5,0,해외에서도 열람할수 있게 해주세요~앱다운은 되는데 서버연결이 안되고 있습니다~,ios
화해 (8년 연속 1위 화장품 뷰티 앱),gujjogf,2022-02-16 23:53:16+09:00,1,0,서버와 연결하지 못했습니다. 다시 한 번 시도해주세요. 라는 메시지만 매번 뜹니다. 네트워크 문제없는데 왜그럴가요,ios
화해 (8년 연속 1위 화장품 뷰티 앱),별명 입력을 왜해 ㅆ,2022-02-08 11:29:22+09:00,1,0,단발형 알려주신다고 해서 깔았는데 그냥 화장품 밖에 안 나오네요 ㅋㅋ;;,ios
화해 (8년 연속 1위 화장품 뷰티 앱),hyeon쓰,2022-02-06 19:25:45+09:00,5,0,"영양제 비교해가면서 살때마다 뭐가뭔지 모르겠는데, 화해에서 영양제 플랫폼도 만들어주시면 넘 감사할거같아요...ㅠㅠㅠㅠㅠ영양제를 해석하다 해서 영해...화해같은 능력자어플에서 젭알...영양제 플랫폼도 출시해주세요..",ios
화해 (8년 연속 1위 화장품 뷰티 앱),알듀드,2022-02-01 11:15:05+09:00,5,0,진짜진쩌 좋아요 ! 화장 처음 해서 이것저것 고민할 게 많았는데 화해 보면서 진짜 다 해결해도 과언이 아닐 만큼 엄청 도움이 됐어요. 근데 이제 큐앤에이 같은 것도 만들어서 더 자세히 깊은 고민들을 나눌 수 있었으면 좋겠어요. 암튼 너무 좋슴디당💙,ios
화해 (8년 연속 1위 화장품 뷰티 앱),초코타임 먹고 싶다,2022-01-23 17:34:27+09:00,1,0,"예를 들어서 제외 성분에 피이지를 검색해서 넣는다고 치면 선택해서 넣을 수 있게 항목 좀 만들어 주세요; 피이지 2,30개 있는데 하나하나씩 쳐서 넣고 빼고 했어요;; 그리고 와이파이 잘 터지고 환경 상태도 좋고 데이터도 써 봤는데 왜 자꾸 튕기는지..",ios
화해 (8년 연속 1위 화장품 뷰티 앱),yoojin0130,2022-01-09 20:42:33+09:00,5,0,"카테고리 별로 분류해 주신 것도, 꼼평단도 정말 좋은 아이디어이고 많은 사람들이 도움 받고 있어요! 하지만 계절마다, 사람들 피부 상태가 달라지기에 적합한 스킨케어가 따로 있다고 생각해요! 그래서 계절도 카테고리에 넣어주신다면 감사하겠습니당..🥺",ios
화해 (8년 연속 1위 화장품 뷰티 앱),베웅도,2022-01-04 08:56:35+09:00,1,0,이벤트 참여했는데 포인트 지급이 안 되네요? 문의도 남겼는데 답이 없어요,ios
화해 (8년 연속 1위 화장품 뷰티 앱),뿜금꾸귝,2021-12-29 01:48:55+09:00,1,0,폰 바꾸고 페이스북 아이디 잃어버렸는데 다시 가입하려해도 페이스북으로 로그인하겠습니까만 뜨고 아니요 누르면 아예 앱 실행이 안돼요 이메일로 로그인하기로 해도 페이스북으로 하라고 반복되고 다른 수단을 만들어주세요,ios
