id,APP_NAME,USER,DATE,STAR,LIKE,TITLE,COMMENT,OS
,YouTube,맛있는 냄새,2022-02-14T11:32:04-07:00,1,0,업데이트 왜이래요 광고가 너무 많아요,썸네일 커져서 한 화면에 여러 영상 안들어오는 것도 그렇고... 댓글창 바뀐 것도 그렇고 전체적으로 비효율적이 된 느낌입니다 광고를 얼마나 넣는거예요?,ios
,YouTube,gdyeiakzkdjjwjxndbf,2022-02-14T06:00:56-07:00,1,0,.,광고시간이 고지없이 5초에서 7초로 늘어남 과 더불어 수익 미 창출 채널에도 광고를 붙여 시청자를 기만하고 불편을 줌.,ios
,YouTube,미션 이벤트 할 때,2022-02-14T03:44:03-07:00,3,0,최신 영상들이 몇 개씩 안떠요,다른 앱으로 들어가서 유트브 들어가면 되는데 유트브에서 그 영상 볼려고 하면 3개월 전 것만 뜹니다.,ios
,YouTube,"아,,진짜",2022-02-14T02:33:32-07:00,2,0,제발 댓글 필터링좀 없애주세요,제가 이번에 유튜브 영상을 하나 올렸는데 진짜 열심히 편집하고 올리고 친구들고 홍보해줘서 구독자도 늘고 조회수도 올라가고 댓글도 현재 25개가 달렸는데 실제로 보이는건 10개밖에 안되요... 유튜브 스튜디오에 들어가서 검토중인 댓글을 보려는데 댓글이 아예 안보여요 댓글은 계속 올라오고 있고 보이는건 10개에요 진짜 너무 짜증나고 답답해요 제발 이거 고쳐주세요,ios
,YouTube,러니러닝,2022-02-14T00:14:12-07:00,1,0,아이패드 업데이트후 화면문제,업데이트하라고 해서 업데이트후 이용하니 아이패드로 동영상 틀면 백그라운드일때 나오는 화면처럼 조그만 화면이 왼쪽구석에 뜹니다 전체화면을 했다가 다시 보통화면으로 돌려야 제대로 나오네요 다 이래요 지웠다 다시 깔았다해도 동영상틀면 옆에 재생목록 밑에 댓글나오고 화면은 조그맣게 나옵니다. 짜증나 죽겠어요 업데이트하고나서 더 이상해졌습니다. 빠르게 다시 업데이트해주세요 영상편하게 연속재생해놔도 이것때문에 계속 전체화면했다가 다시 돌렸다가 뭡니까,ios
,YouTube,철도덕후들,2022-02-13T21:45:42-07:00,1,0,광고좀,유튭 시작하고나서는 광고땜에 엿먹은느낌,ios
,YouTube,harinnnnn,2022-02-13T21:12:44-07:00,4,0,화질설정 문제에 관하여,"많은 분들께서 화질설정이 왜 퇴보되었냐, 불편하다 라는 이야기가 많이 나오고있는데요, 유튜브에서 고화질 영상을 많이 보면 데이터센터에도 열이 많이 나고 그걸 식히기 위해 전력을 또 쓰는데 그 전력이 화석연료로 만드는 거라며 온실가스가 많이 나와 온난화 현상이 발생됩니다",ios
,YouTube,pgetvwtbwtsbsr,2022-02-13T12:01:15-07:00,5,0,Good,굿,ios
,YouTube,슬지 오징징,2022-02-13T06:33:24-07:00,5,0,"제발,,,,",다 좋은데 몇 번 이상신고하면 계정 정지나 계정 삭제되게 해주세요 제발 진짜,ios
,YouTube,텨리,2022-02-13T05:14:02-07:00,1,0,이중결제됬어요,결제되고 다음날 또 중복 결제되었어요 확인후 취소 부탁드립니다.,ios
,YouTube,몬모둥이,2022-02-13T04:54:37-07:00,3,0,가사,제공되었으면 좋겠어요ㅠㅠㅠㅠ 수록곡 중에서 가사 없는 곡이 너무 많아요,ios
,YouTube,조금만 바두세요,2022-02-13T04:32:59-07:00,3,0,쯤,안드로이드 는 8690원이데 아이폰 은 왜 11500원 입니까,ios
,YouTube,별명인댸얈,2022-02-13T03:26:42-07:00,2,0,댓글 스팸처리,댓글 스팸처리가 너무 무분별하게 됩니다. 댓글에 이모티콘이 많이 있지도 않고 내용이 길지도 않는데 왜 계속 스팸처리가 되는 건가요? 계정을 만들고 다시 댓글을 작성해봐도 모든 계정이 스팸처리가 되네요 이게 벌써 6번째입니다. 다는 댓글 전부 스팸처리가 되니 속상하네요 핸드폰 기종은 아이폰 7 입니다,ios
,YouTube,ㅜㅠㄹ로ㅓ,2022-02-13T02:17:19-07:00,5,0,ㅎㅎ,호,ios
,YouTube,(*'•'*),2022-02-13T02:06:30-07:00,4,0,구독오류남..,구독자가 갑자기 사라졌네요 다들 다 구독 눌려져있다고 인증했는데 오류라고 느껴지네요 당장 고쳐주세요,ios
,YouTube,october8118,2022-02-12T20:22:52-07:00,5,0,좋아요,정말 좋아해요.,ios
,YouTube,깨르르르르르를륵,2022-02-12T19:56:22-07:00,2,0,아이폰 5c로 사용하는데 업데이트 때문에 어플,들어가지지도 않네요 ..,ios
,YouTube,jkll455,2022-02-12T19:26:04-07:00,1,0,"아이패드 매직키보드 글조정 방향키가 인식이 안되요,, ㅡㅡ","지난번에는 영상 앞뒤로가기 방향키가 안먹히더니, 이제는 글작성 방향키가 인식이 안되네요,,, 유투브 진짜 왜이러나요??? ㅡㅡ 광고도 이젠 스킵도 못하게 해놓고, 이젠 짜증나서, 유투브 이용안할렵니다.",ios
,YouTube,방타니형좋아용,2022-02-12T16:05:09-07:00,1,0,연령대 문제,"어제 제가 올림픽영상을 녹화해서 방송사 로고도 모자이크로 가리고 영상을 올렸는데 저작권 침해 신고가 들어왔어요. 그래서 영상보기가 제한되더라고요. 그래서 오늘 아침에 일어나서 보니까 계정이 삭제된다고 하더라구요. 저도 나름 열심히 해서 72명 구독자도 모았는데… 17세 이상이 된 사유가 선정적인 것, 폭력, 마약, 담배, 부적절한 유머들등이라고 하더라구요. 연령을 17세로 제한할께 아니라 유튜브에서 제제를 가하면 되지 않나요? 그리고 유튜브가 충분히 할 수 있는 범위를 하기 귀찮아서 17세로 한 곳 아닌가요? 저같이 17세 이하 청소년들이 유튜브를 올리고 보고 즐겁게 즐기는 곳인데 너무 억울하네요…유튜브정말 실망입니다……",ios
,YouTube,채성남,2022-02-12T14:33:46-07:00,4,0,구독,구독해서 들어가면 검색창 따로 잇엇으면 좋겟어요,ios
,YouTube,ㅋㅋㅇㅍㅇㅈ ㅁㅇ,2022-02-12T08:18:01-07:00,3,0,제발읽어주세요저만이런가요,"저만 이런건진 모르겠는데 그 shorts좀 뭐랄까 다른것 좀 나오게 하면 좋겠어요 약간 재부팅이랄까... 쨋든 다른 어플들은 가능한데(ex.ㅌㅌ,ㅇㅅㅌ 릴스 등) 유튜브는 진짜  같은 shorts 10번 넘게 보고 화나서 걍 그 채널 관심없음 돌려버렸어요. 좀 바꿔주세요 짜증납니다.",ios
,YouTube,낭낭하게 넣을게,2022-02-12T07:23:23-07:00,4,0,새로고침 오류 고쳐주세요.,영상을 길게 내려서 새로고침을 할때 영상목록이 바뀌지 않고 그대로일때가 너무 많은것 같아요. 인터넷 문제라기 보다는 앱내 오류같은데 조금 고쳐 주셨으면 좋겠네요.,ios
,YouTube,뮈해뮈해뭐해뭐해,2022-02-12T05:43:12-07:00,2,0,화질 설정 개선해주세요,원래 품질에서 화질 설정이 가능했는데 지금은 재생 속도와 VR로 재생 이 두 가지랑 자막 설정만 뜨고 화질을 구체적으로 설정하는건 어디에도 없네요 어떻게 좀 해주세요,ios
,YouTube,세봉세봉쓰,2022-02-12T03:38:15-07:00,4,0,채널 차단 기능 업그레이드 부탁드려요,"채널 차단을 할 수 있으면 좋겠어요. 그냥 ‘이 채널이 내 영상에 댓글을 달지 못 한다’가 아니라 그냥 영상이 안 뜨게요. 다 좋고 재밌게 쓰고 있는데 가끔 쇼츠를 내리다보면 그닥 보고싶지 않은 채널이 뜰 때가 많아서 눈쌀이 찌푸려지는데 차단을 해도 내 동영상에 댓글을 못 단다고만 하고 영상은 계속 떠요. 저는 영상을 올리지 않아서 그런 차단기능은 저에게 쓸모가 없고, 그냥 제가 보고 싶지 않은 채널이 제 추천 영상에 안 뜰 수 있도록 채널 완전 차단 기능이 있었으면 좋겠습니다. 제발 부탁드려요. 보다가 기분나빠지는 영상들이 꽤 있어서…",ios
,YouTube,이현수05,2022-02-12T02:50:59-07:00,3,0,버그사항,일단 유튜브 쇼츠를 보다 댓글에 동영상 링크로 넘어가서 영상을 전체화면하고난 후 다시 작은 화면으로 넘어가면 화면이 검게 아무것도 안 보이고 일시정지도 안 됩니다.,ios
,YouTube,친추좀 되게해라,2022-02-12T01:00:15-07:00,2,0,Pip모드가 작동 안해요..,아이폰인데 업데이트 모두 완료했고 프리미엄 결제하고 하는데도 안되네요..,ios
,YouTube,끝까지 응원할게,2022-02-12T00:19:38-07:00,1,0,왜 이래요?,동영상 틀면 전체화면으로 나와는 게 아니라 화면이 왼쪽 구석에는 나오고 나머지 화면 영역은 검정색으로 떠요 불편하네여;;;;;;;;;;;,ios
,YouTube,ㅎㄹㅇ누오,2022-02-12T00:05:38-07:00,4,0,백그라운드 버그,백그라운드 설정에서 헤드폰 및 외부 스피커나 꺼지을 선택해도 화면이 꺼진 상태에서 재생되네요,ios
,YouTube,tony yujav,2022-02-11T21:03:40-07:00,1,0,Too Much Ads,"few years ago, there wasnt much advertisements on youtube, which is why I loved watching youtube. However, since youtube is getting bigger, its too much ads, ( even when I want to watch video that is for 30 seconds, I need to watch the ads as well... please stop!!!!!!!!!!!!!!!!! getting mad!! Stop!!!! advertising youtube!!!!!!!!! getting drive me crazy!!!!!!!!!!!!.....",ios
,YouTube,비둘기박물관,2022-02-11T19:11:38-07:00,1,0,시스템 설정 따라가는 다크모드좀 넣어줘요,누구는 있다고 하고 누구는 없고 기준이 뭔가요 프리미엄 쓰는데도 자동 다크모드 지원 안하네요,ios
,YouTube,영상 화면 크기 이상함,2022-02-11T18:16:13-07:00,5,0,영상 화면 크기,별 하나 남기면 안 보실 것 같아 다섯 개로 하고 리뷰 남깁니다. ‘아이패드 최신 버전 + 유튜브 앱 최신 버전’인데도 영상을 눌렀을 때 화면이 검정 화면에서 제일 구석에 1/4 크기도 안 되게 잘려서 나옵니다. 앱을 삭제했다가 다시 깔아봐도 그러네요. 어떤 게 문제인건가요?,ios
,YouTube,브런든리,2022-02-11T17:42:34-07:00,4,0,영상 화질 설정,화질 설정이 업데이트 후에 사라졌습니다… 빨리 복구해주세요 ㅠㅠ,ios
,YouTube,루슈람,2022-02-11T16:30:02-07:00,4,0,업데이트가 안돼요 ㅜㅡㅜ,저만 그런지는 모르겠는데 제 친구들 다 새 버전으로 업데이트가 됐거든요 근데 저만 업데이트가 안돼요 😰 업데이트라고 뜨는 버튼 거기에도 업데이트가 없다구 막 그러고… 너무 속상해서 리뷰 달아봤어요 수정해주세요 😶,ios
,YouTube,유튜브 운영자님,2022-02-11T14:34:58-07:00,1,0,로그인 버튼이 안눌려요,"앱을 계속 깔았다가 지워도 안되니까 짜증나네요 재생목록도 못쓰고 좋아요도 아무것도 못하니까 많이 지장이 생깁니다  다른건 다 되는데 왜 로그인만 눌려도 반응없는지 모르겠어요   빨리 당장 확인하셔서 수분 내에 좀 고쳐주세요 , 내일까지 로그인도 못하고 기다리다가 참 뭐하네요",ios
,YouTube,김김김이,2022-02-11T13:12:06-07:00,4,0,동영상 클릭이 안될때가 많음 그리고 동영상이 검은색으로 변할때가 잇음,고쳐주세요,ios
,YouTube,jisongeun,2022-02-11T09:29:03-07:00,5,0,다 좋은데,다 좋은데..연속재생이 없는게 너무나도 아쉽다..,ios
,YouTube,방탄소년단의팬이로자 아미,2022-02-11T07:54:19-07:00,5,0,다 좋은데.. 제발 이것만 PIP,PIP 모드를 전부 사용할 수 있게 해주세요.. 돈 내고 까지 사용하고 싶지는 않은 데 사용하고 싶을 때가 있어요....  그렇다고 돈을 낼 순 없잖아요.. 아직 미성년자라 부모님이 하락도 안 해주시고 차라리 돈을 내시는 분한테는 다른 혜택을 드리고 PIP 모드를 모두 사용할 수 있게 해주세요 네이버나 구글도 되는 데 왜? 유튜브만 돈을 줘야 하는지 모르겠어요... 다 좋은 데 서비스도 만족스럽고 화질도 다 좋은 데 PIP 모드 때문에 자꾸 별점이 줄어들려고 하네요... 거의 대부분 사람들이 PIP 모드가 기본으로 되길 바라는 서람들이 더 많을 거 같아요.. 이 모드만 좀 바꿔 주세요ㅠ,ios
,YouTube,운영자님 제발 저의 예전계정삭제해주세요,2022-02-11T05:49:39-07:00,5,0,유튜브 채널아트 사진,채널아트사진 삭제할수있는기능  만들어주세요,ios
,YouTube,강아지똥화나따,2022-02-11T05:22:52-07:00,3,0,유튜브 저작권/댓글 고쳐달라!!,직접 VLLO 유료로 결제 후 사용하고 있는데 음원 넣었더니 저작권 침해라고 하고. 그래서 다시 올리고 올리고 하다 보니 8번이나 다시 업로드 했네요. 오늘도 영상 올리니까 자꾸 댓글창이 자기 마음대로 막히고 진짜 답답해요. 아동용도 아니고 댓글제한도 다 풀려있는데 진짜 왜이러는 건가요? 블로 음원은 저작권이 없다고 직접 앱에 설명도 되어있는데 진짜 어떻게 좀 해주세요. 제 영상 보시는 분들이 달아주신 댓글이 자기 마음대로 삭제되고 사라져서 너무 속상합니다😭😭😭😭😭😭😭😭😭😭,ios
,YouTube,Successorsy,2022-02-11T05:02:26-07:00,2,0,아이폰 검색창 터치 안되는버그 언제고칠래요?,반년이상 이런거같은데 ㅋ,ios
,YouTube,네오아,2022-02-11T04:11:49-07:00,5,0,좋다,좋다,ios
,YouTube,두치36,2022-02-11T04:05:13-07:00,5,0,리뷰,리뷰,ios
,YouTube,허브님,2022-02-11T03:40:14-07:00,5,0,다 좋아요,다 좋아요. 다만 구형 아이패드에서 자꾸 업데이트 하라고 나오는 것좀 해결해주세요!!!!!!!,ios
,YouTube,니티니Q,2022-02-11T03:31:06-07:00,5,0,많은 유트버 영상을 볼수 있음,"유튜브가 좋은 점:모든 채널을 검색하면 빨리 검색 되고 재미있는 영상이 많이 나온다 느낌 점:너무 재미있고 유튜브로 공부도 할수 있다. 소설,드라마 등등 재미있는 영상이 있고 재미있는 애니 영상들도 있고 소통을 할수 있어서 정말 좋다",ios
,YouTube,빨리고쳐쥬데여,2022-02-10T21:08:58-07:00,1,0,업데이트이후 영상재생 버튼을 비롯한 화면 터치가안됨,"말그대로 영상 화면 터치가 안됩니다.  재생 버튼, 재생바등 아예 터치가 안되네요. 너무 불편합니다. 하루빨리 수정 부탁드립니다.",ios
