APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
"Discord - 대화, 채팅, 모임",답변좀요ㅜㅜ,2022-04-06 14:17:05+09:00,3,0,디코를 몇년동안 사용했는데 어느순간부터 업뎃후 디코를 하면서 보톡이 안되더라구요. 그래서 다른 친구는 가능한지 해보았는데 친구는 되네요. 무엇이 문제인걸까요? 설정이 따로 있나요?,ios
"Discord - 대화, 채팅, 모임",어후열받아,2022-04-05 15:21:46+09:00,3,0,모바일 디스코드 사용 중인데 앱 누르면 그냥 튕겨요.. 업뎃의 문젠 줄 알고 업뎃도 해봤는데 똑같네요,ios
"Discord - 대화, 채팅, 모임",v이브v,2022-04-04 10:21:49+09:00,5,0,최고다,ios
"Discord - 대화, 채팅, 모임",세라핀은선넘었지,2022-04-02 22:36:00+09:00,3,0,서버프로필 변경이 안됩니다. 프로필 변경 저장 누르면 저장된것처럼 나오기만 하고 안됩니다..,ios
"Discord - 대화, 채팅, 모임",몽신이,2022-04-01 13:49:31+09:00,1,0,만우절이라 그런가요? 오늘따라 렉이 너무 심해요 튕김현상은 물론 채팅까지 우르르 쏟아집니다 제 택배물마냥 제발 고쳐주세요 만우절 이벤트라면 내일은 고쳐지겠죠? 그럼 그때 별 다섯개로 바꿔놓겠습니다,ios
"Discord - 대화, 채팅, 모임",hunerkiller007,2022-03-29 19:07:15+09:00,5,0,컴퓨터로 디코를 시작하였고 핸드폰으로 할려는데 컴터로 했던 비밀번호가 기억이 안나는겁니다 그래서 계정 하나 만들었는데 통일 시킬려고 하니 삭제도 못하고 찾지도 못하는 그런상황인데 좀 도와주세요,ios
"Discord - 대화, 채팅, 모임",글냥이,2022-03-29 16:23:00+09:00,5,0,"서버 닉네임 변경이 안됩니다. 변경하고 저장하면 된거 같긴한데 그 창을 닫으려니까 저장이 안됐다고 그러더라구요. 문의도 해봤지만 버그를 제보해줘서 감사하다고 개선해보겠다는 이메일만 왔지 고쳐진게 없습니다. 로그아웃, 지웠다 깔기 등 여러 방법을 해보았지만 여전히 서버 별명이 변경이 안됩니다. 고쳐주세요.",ios
"Discord - 대화, 채팅, 모임",현보민,2022-03-29 10:58:58+09:00,1,0,"The app suddenly got weird. Cant even change my name without nitro. I mean, hello, isnt it just basic thing? Now i cant use still emoji without nitro as well (not the gif one, the jpg/png one) 😩",ios
"Discord - 대화, 채팅, 모임",SCHULZ. V,2022-03-28 22:39:25+09:00,5,0,암만,ios
"Discord - 대화, 채팅, 모임",여왕지원,2022-03-27 20:38:29+09:00,1,0,갑자기 잘 하고 있는데 디코 팅구고 디코도 원래처럼 바꿔주세요,ios
"Discord - 대화, 채팅, 모임",단호한녀석,2022-03-27 20:07:30+09:00,4,0,안녕하세요 아이패드로 디스코드를 사용하는 유저입니다. 다름이 아니라 제가 간혹가다 아이패드로 화면공유를 하여 상대방이 나의 화면공유 스트리밍을 보러 놀러오면 갑자기 화면공유가 강제종료되는 현상이 발생됩니다. 어찌해야하나요? 어떤문제인가요? 이 현상으로 수많은 유저들이 불편함을 겪고있습니다,ios
"Discord - 대화, 채팅, 모임",문줭언,2022-03-27 02:25:58+09:00,1,0,서버 별명을 바꾸려고 서버 프로필 편집 들어가서 별명을 바꾸고 저장을 눌렀는데 왜 반응이 없죠?? 그냥 닫기 누르면 변경된 내용 없다고만 뜨고………….,ios
"Discord - 대화, 채팅, 모임",ghzxc,2022-03-26 23:32:03+09:00,1,0,디스코드를 아이폰 피시에서 둘다 사용하는 유저입니다 피시에서는 프로필사진 변경으 잘 되는데 왜 핸드폰에서는 변경이 안되는건가요?? 이런 현상이 지금 몇주째되가고있는데 패치 좀 부탁드립니다,ios
"Discord - 대화, 채팅, 모임",사용자 임니다 13224542,2022-03-25 22:37:05+09:00,5,0,디코를 한 4~5년정도 썼었는데 로그아웃후에 다시 로그인 하려하니 전화번호로 인증을 하라는식으로  보내더라구여 근데 2차인증을 하면서 전화번호를 즉 sns인증을 활성화를 안해서 연동도 안돼있고 혹시해서 전번을 적어서 해보긴 하였으나 로그인이 안됍니다 해결좀 부탁드릴게여,ios
"Discord - 대화, 채팅, 모임",spoon ondo,2022-03-25 16:08:27+09:00,1,0,아 제발 쓸데없는 업데이트 같은 거 하지 마시고 맨날 같은 오류나 좀 없애주세요 잘 얘기하고 있는데 끊기고 나가지고 몇 달된 거 같은데 고칠 수 없는 건가요 이건;;,ios
"Discord - 대화, 채팅, 모임",Skihns826),2022-03-24 22:40:43+09:00,4,0,...,ios
"Discord - 대화, 채팅, 모임",도루dolu,2022-03-24 22:09:31+09:00,3,0,제목 그대로 변경이 안됩니다,ios
"Discord - 대화, 채팅, 모임",vggeakl,2022-03-23 22:46:13+09:00,2,0,음성 채널에 들어가기만 해도 친구들 프사가 화면 가리게 크게 나와서 진짜 불편해요 왜 갑자기 이렇게 바뀐 건지 이해가 안 되네요 ... 그리고 음성 채널에 들어갔을 때 자꾸만 친구를 초대하라는 키가 눌려서 짜증나요,ios
"Discord - 대화, 채팅, 모임",성형 후기라도 있는줄,2022-03-22 19:39:26+09:00,1,0,갑자기 폰으로 접속할때마다 1초만에 강제종료 되요 이게 뭔가요???,ios
"Discord - 대화, 채팅, 모임",킹지영,2022-03-21 22:20:35+09:00,2,0,코시국이니만큼 디스코드 자주 애용하게되면서 친구들이랑 화면 공유로 게임도 같이하구 하는데요 화면 품질이 너무 자주깨졌다가 좋아졌다가 하니까 눈도아프고 머리가아파서 속이 너무 안좋아요 그래서 방송 자주 키는 친구가  디스코드 nitro 결제까지했는데도 방송 화면 품질은 결제하기 전이나 결제하나 똑같구요.. 화면 품질 개선좀 부탁드립니다 ㅠㅠ 진지하게 다른 어플 찾아볼까 고민중이에요ㅜ이것때문에 너무 힘들어요ㅠㅠ 개선 부탁 드려용ㅠㅠ,ios
"Discord - 대화, 채팅, 모임",비크마,2022-03-21 03:02:35+09:00,3,0,컴퓨터는 접속이 되는데 핸드폰은 접속이 안되네요,ios
"Discord - 대화, 채팅, 모임",달달볶음면,2022-03-20 14:02:35+09:00,1,0,다운그래이드해주던가 다시 패치 해주세요 ㅈㄴ불편해요,ios
"Discord - 대화, 채팅, 모임",14ㅈㅊㅂ3ㅁ2ㄱㅂ3ㅃ,2022-03-19 18:30:25+09:00,3,0,수정한 후 저장을 누르면 무한 로딩이 되면서 저장이 되지 않습니다.. 취소 버튼은 잘 눌리는데..,ios
"Discord - 대화, 채팅, 모임",rlaalstndn,2022-03-17 18:08:29+09:00,3,0,서버 프로필 변경이 안될 때가 종종 있네요 저장버튼 누르면 그상태로 가만히 있는데 닫기버튼은 잘 눌리네요 다른건 다 되는데 프로필만 바꿀려 하면 그러네요,ios
"Discord - 대화, 채팅, 모임",나소영,2022-03-17 17:31:41+09:00,1,0,아니 디코 화면 공유 보고 있을 때 갑자기 소리 엄청 증폭되면서 커지고 시끄러워요 이거 오류임?,ios
"Discord - 대화, 채팅, 모임",훼이크2,2022-03-16 19:24:01+09:00,5,0,증말 좋네요 음질도 좋고 아무튼 별이 5개!,ios
"Discord - 대화, 채팅, 모임",디코 하고싶어,2022-03-15 22:03:34+09:00,2,0,그 디스코드 가입이 안돼요 왜그런지 모르지만 게속 돼지않아서 보톡으로했는데 왜그런거죠?,ios
"Discord - 대화, 채팅, 모임",greenday24Y!,2022-03-15 12:31:56+09:00,3,0,"After the last update on iOS (iPhone) it has become impossible to react with an emote. I would have to type something first and then use the emote. Please, fix~",ios
"Discord - 대화, 채팅, 모임",아나짜증나네,2022-03-12 14:42:44+09:00,5,0,가끔 먹통되는것만 빼면 괜츈,ios
"Discord - 대화, 채팅, 모임",녹차오징어,2022-03-12 12:31:11+09:00,1,0,이름 바꾸거나 전번 바꿀려면 비번 필요하다는데 비번은 찾을수 있게 해주세요 제ㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔ발 이것도 안돼고 저것도 안돼면 어떻하라는 거죠 해명하세요,ios
"Discord - 대화, 채팅, 모임",ㅠㅠㅠ그,2022-03-12 11:14:07+09:00,5,0,"솔직히말하자면 디스코드란 인터넷 앱은 단순일반화해서 친구들 또는 직장 또는 다른 인터넷에서 만난사람들 등등 과 소통,취미생활을 함께 즐기기위함이나 회의 등을 참여하기위해서 만들어진 앱이잖아요? 하지만 이앱을 처음사용해보게되면 너무 단순하지않고 복잡해요 정확히 말하면 명령어 (!음악틀어) 이런 단순한 명령어는 괜찮은데 예를들어 권력을 만든다든가 방을 새로 만들게되었을때 설명이 너무많은 명령어와 설정메뉴등의 비해 너무 설명이적고 쉬운설명이아니라 너무 복잡해요 이부분 앱을 쓰는 어린이나 성인분들의 심정을 고려해서 고칠부분은 고쳐주시고요 2.두번째 이의 사항은 디스코드가 지금17세 이상만 다운로드가 가능하죠? 이게 잘못됬다고 표현할수있는 이유가 무엇이냐면 지금 디스코드에 학교라는 클랜 비스무리한것을 만들어 학급친구들. 또는 같은 동아리의 소속된친구들이랑 같이 소통을 할수있도록 만드셨는데 학교라 하면은 초등학교 중학교 고등학교 대학교 모든 학교들을 통틀어 ""학교"" 라고 줄여말할수    있잖아요? 그런데 앱안에있는 학교라는 새로워진 방과는 다르게 이앱을 사용하는 연령대를 애플스토어나 플레이 게임 또는 플레이스토어에서는 17세 이상으로 정해놓았더라구요.그렇다면 디스코드 안에있는 학교 라는이름을 고등학교나 대학교커뮤니티 라고 이름을 바꾸거나 디스코드 사용연령대의 기준을 조금내리는게 어떨까생각이듭니다. 그리고 17세이하라는 이유로 앱에 차단이되어 앱을 사용하지못한다면 부모님이나 친척,또는 가족 등등의 명의로 디스코드라는 앱을 사용할수있기에 이미성년자 친구들이 부모님 명의나 가족명의를 돌려쓰는걸 습관화한다면 오히려 으리나라의 미래가 걱정된다생각됩니다 가뜩히나 코로나로 힘들어 밖에나가지못하여 디스코드란 앱을 사용하여 친구들과 소통하는데 이마저 하지못한다면 더 큰 결과를 초래할수도 있단 생각이듭니다 여기까지하고 나이제한을 정정해주시기를빕니다 관리자님.",ios
"Discord - 대화, 채팅, 모임",현질 안하면 ㅈㄴ 노가다 게림,2022-03-11 21:49:32+09:00,2,0,비디오 보기 개별로임,ios
"Discord - 대화, 채팅, 모임",미료리랴,2022-03-10 23:49:51+09:00,1,0,컴터는 로그인되는데 왜 핸드폰은 로그인이 안되죠? 그리고 그림 고르는거좀 똑바로 된 말로 설명을 하던가 수직 강을 찍으라는데 찍어도 안되는데 그림좀 없애면 안되나?,ios
"Discord - 대화, 채팅, 모임",넘버3.9,2022-03-10 13:55:50+09:00,3,0,"디스코드를 몇년째 사용하는 사람입니다. 웹도 어플도 잘 사용하고 있으나 아이폰 버전의 문제가 있습니다. 치명적인 문제는 아니지만 개선해주시면 좋겠습니다.  1. 가로모드 제한   아이폰 버전의 문제로 느껴집니다. 세로 고정을 풀어도 핸드폰을 기울였을 때 디스코드는 가로모드가 되지 않습니다. 블루투스 키보드 등을 이용할 때 상당히 불편합니다. 2. 한글의 특수효과 제한   디스코드의 매우 큰 장점인 글자 조정(기울임, 굵게, 작게 등)효과가 아이폰의 화면에서 재현되지 않습니다. 꽤 오랜 기간동안 겪은 불편한 사항입니다.  위의 사항이 개선된다면 더할나위 없이 좋은 이용을 지속할 것 같습니다.",ios
"Discord - 대화, 채팅, 모임",괴도짬짜면,2022-03-10 04:17:29+09:00,1,0,아니 모바일 디코 유저인데요 예전대로 다시 가능하나요 이거 들어갈때 음소거 또는 그냥 들어가기가 있는건 편한데요 나중에 친구들과 통화하다가 음소거할때 너무불편해요 심지어 친구들 프로필이 배경화면 된거같아요 ㅋㅋㅋㅋㅋㅋ 진짜 여러므로 불편합니다,ios
"Discord - 대화, 채팅, 모임",랜다 개빡치네,2022-03-09 03:37:44+09:00,3,0,업데이트해서 해결됐다면서 아직도 로딩중 ㅋㅋ,ios
"Discord - 대화, 채팅, 모임",숑앙,2022-03-09 03:09:37+09:00,4,0,아까전까지 디스코드 사람들과 어몽어스라는 게임을 하면서 놀고 있었는데 갑자기 어몽어스 튕김과 동시에 디코 채팅 기록 같은게 아예 안되네요 다시 깔아도 안되고 폰 껐다 켜도 안됩니다 제발 고쳐주세요…ㅠㅠ 앱은 들어가지지만 채팅이 아예 안 떠요…,ios
"Discord - 대화, 채팅, 모임",넥팅,2022-03-09 02:34:04+09:00,4,0,디스코드오류인지 메시지나 그런게 아예 보이지않길래 해킹인가 싶어 비밀번호를 바꾸고 다시 로그인을하는데 로그인이 되지않습니다. 비밀번호는 물론 이메일모두 맞게 적었음에도 그렇습니다...,ios
"Discord - 대화, 채팅, 모임",N0o0o0or,2022-03-09 02:26:57+09:00,1,0,Meus caros senhores do discord  A app está meio atrasadinha  Por favor arranjem esta merda,ios
"Discord - 대화, 채팅, 모임",sieidk,2022-03-09 02:25:11+09:00,1,0,"다시 시도하거나 상태페이지를 확인하라고만 하고 핸드폰, 피씨 버전, 아이패드 모두 로그인조차 되질 않아요 ㅠㅠ… 디코도 보내다가 갑자기 대화 다 사라지고 빈 바탕만 뜨고 있어요",ios
"Discord - 대화, 채팅, 모임",il007kr,2022-03-09 00:33:07+09:00,4,0,기존 Discord 계정에서 이미 핸드폰 번호를 사용하고 있다고 제거하고 가입하라는데…. 처음 가입인데 이런 문자로 등록이 안되요 탈퇴하고 다시 가입해도 핸드폰 등록만 게속 안되고 있어요 어떻게 해야 하나요? 다른 누군가가 이번호로 가입 되어서 안되는 건가요? 핸드폰 번호 바꾼지는 1년 됬습니다~,ios
"Discord - 대화, 채팅, 모임",니무르,2022-03-06 00:44:49+09:00,3,0,"애플측이 요청한게 아니면, 디스코드쪽에서 전연령으로 바꾸는게 맞는거 같은데? 왜 수정을 안하나요?",ios
"Discord - 대화, 채팅, 모임",도럇야,2022-03-05 15:06:34+09:00,1,0,이게 도대체 뭐에 쓰는 물건인고,ios
"Discord - 대화, 채팅, 모임",hahahahaaqq,2022-03-05 01:13:49+09:00,3,0,내 친구가 못하고 있다고,ios
"Discord - 대화, 채팅, 모임",Illow0213,2022-03-04 13:24:10+09:00,1,0,갑자기 디스코드가 무한적으로 로딩이 되고 아무것도 할수가 없습니다 게다가 문의하려고 디스코드 사이트를 들어가려했는데 사이트도 안들어가져요 dis.gd/contact도 안들어가집니다 도대체 어떻게 해야돼요??,ios
"Discord - 대화, 채팅, 모임",#1초,2022-03-03 18:06:53+09:00,5,0,아이폰6 유저고 몇년전만해도 이러지 않았던것 같은데 방송키고 몇분 있음 방송 자동으로 멈춰지네요 문제 응용 프로그램 들어가면 디코 들어가지고 몇번 재설치 해봤지만 안고쳐집니다 이거 왜 그런가요!!,ios
"Discord - 대화, 채팅, 모임",dsdlkgmmkd,2022-03-02 22:32:27+09:00,2,0,알람을좀 몇분안받으면 끊기게해놓던 해주세요 아이패드 불나겠네,ios
