APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
"Discord - 대화, 채팅, 모임",몽신이,2022-04-01 13:49:31,1,0,만우절이라 그런가요? 오늘따라 렉이 너무 심해요 튕김현상은 물론 채팅까지 우르르 쏟아집니다 제 택배물마냥 제발 고쳐주세요 만우절 이벤트라면 내일은 고쳐지겠죠? 그럼 그때 별 다섯개로 바꿔놓겠습니다,ios
"Discord - 대화, 채팅, 모임",hunerkiller007,2022-03-29 19:07:15,5,0,컴퓨터로 디코를 시작하였고 핸드폰으로 할려는데 컴터로 했던 비밀번호가 기억이 안나는겁니다 그래서 계정 하나 만들었는데 통일 시킬려고 하니 삭제도 못하고 찾지도 못하는 그런상황인데 좀 도와주세요,ios
"Discord - 대화, 채팅, 모임",글냥이,2022-03-29 16:23:00,5,0,"서버 닉네임 변경이 안됩니다. 변경하고 저장하면 된거 같긴한데 그 창을 닫으려니까 저장이 안됐다고 그러더라구요. 문의도 해봤지만 버그를 제보해줘서 감사하다고 개선해보겠다는 이메일만 왔지 고쳐진게 없습니다. 로그아웃, 지웠다 깔기 등 여러 방법을 해보았지만 여전히 서버 별명이 변경이 안됩니다. 고쳐주세요.",ios
"Discord - 대화, 채팅, 모임",현보민,2022-03-29 10:58:58,1,0,"The app suddenly got weird. Cant even change my name without nitro. I mean, hello, isnt it just basic thing? Now i cant use still emoji without nitro as well (not the gif one, the jpg/png one) 😩",ios
"Discord - 대화, 채팅, 모임",SCHULZ. V,2022-03-28 22:39:25,5,0,암만,ios
"Discord - 대화, 채팅, 모임",여왕지원,2022-03-27 20:38:29,1,0,갑자기 잘 하고 있는데 디코 팅구고 디코도 원래처럼 바꿔주세요,ios
"Discord - 대화, 채팅, 모임",단호한녀석,2022-03-27 20:07:30,4,0,안녕하세요 아이패드로 디스코드를 사용하는 유저입니다. 다름이 아니라 제가 간혹가다 아이패드로 화면공유를 하여 상대방이 나의 화면공유 스트리밍을 보러 놀러오면 갑자기 화면공유가 강제종료되는 현상이 발생됩니다. 어찌해야하나요? 어떤문제인가요? 이 현상으로 수많은 유저들이 불편함을 겪고있습니다,ios
"Discord - 대화, 채팅, 모임",문줭언,2022-03-27 02:25:58,1,0,서버 별명을 바꾸려고 서버 프로필 편집 들어가서 별명을 바꾸고 저장을 눌렀는데 왜 반응이 없죠?? 그냥 닫기 누르면 변경된 내용 없다고만 뜨고………….,ios
"Discord - 대화, 채팅, 모임",ghzxc,2022-03-26 23:32:03,1,0,디스코드를 아이폰 피시에서 둘다 사용하는 유저입니다 피시에서는 프로필사진 변경으 잘 되는데 왜 핸드폰에서는 변경이 안되는건가요?? 이런 현상이 지금 몇주째되가고있는데 패치 좀 부탁드립니다,ios
"Discord - 대화, 채팅, 모임",사용자 임니다 13224542,2022-03-25 22:37:05,5,0,디코를 한 4~5년정도 썼었는데 로그아웃후에 다시 로그인 하려하니 전화번호로 인증을 하라는식으로  보내더라구여 근데 2차인증을 하면서 전화번호를 즉 sns인증을 활성화를 안해서 연동도 안돼있고 혹시해서 전번을 적어서 해보긴 하였으나 로그인이 안됍니다 해결좀 부탁드릴게여,ios
"Discord - 대화, 채팅, 모임",spoon ondo,2022-03-25 16:08:27,1,0,아 제발 쓸데없는 업데이트 같은 거 하지 마시고 맨날 같은 오류나 좀 없애주세요 잘 얘기하고 있는데 끊기고 나가지고 몇 달된 거 같은데 고칠 수 없는 건가요 이건;;,ios
