APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
YouTube,측정시간설정 24시간도 추가좀,2022-04-07 13:00:26+09:00,2,0,엊그제부터 갑자기 연속재생이 안 되는데 진짜 불편해요. 재생목록에 있는 영상에 들어가면 핸드폰 아래에 재생목록 재생칸이 있어야하는데 아예 없어지네요. 똑같은 영상 서너번 눌러야 드디어 생길까 하는데 다음 영상 재생되면 또 지랄이고 어쩌라는겁니까? 구글에 쳐봐도 해결방안은 유튜브 삭제했다가 다시 깔라고 만하던데. 그걸 또 해봐도 안 됩니다. 내가 이러려고 재생목록 준나게 만든 줄 아나 재생목록 자동재생/연속재생 오류 고쳐주세요,ios
YouTube,아이엠샘,2022-04-07 11:22:26+09:00,5,0,🫶🏻,ios
YouTube,ZIEHv,2022-04-07 11:10:31+09:00,5,0,일기장에 쓰실 오후반차를 왜 업데이트 내용에..?,ios
YouTube,코로오호로,2022-04-07 09:07:15+09:00,5,0,탐색옆에 뜨던 새로운맞춤동영상이랑 등등 다시라졌어요 구쳐주세여,ios
YouTube,FXXKR,2022-04-07 02:11:22+09:00,1,0,광고가 싫어서 프리미엄을 쓰는데 구독도 안한 채널이 커뮤니티로 광고를 띄우면 프리미엄 쓰는 나는 뭐가되냐,ios
YouTube,Chaudhery sharif,2022-04-07 01:02:48+09:00,1,0,RestoreDrIsrarYoutubeChannel. You can not play these kind of games with us. You have to restore this channel back.,ios
YouTube,해에틴,2022-04-07 00:30:32+09:00,1,0,광고는 이제 막 넣으세요? 많으면3개씩 넣는데 좀 줄여요 보기 불편해요,ios
YouTube,MiMThree,2022-04-07 00:13:48+09:00,1,0,"어째 업데이트 할 때마다 자잘한 버그가 생기는거죠 이번 업데이트 이후 4K지원하는 아이폰, 아이패드인데 HD(480p) 화질로 재생되며 그 이상 화질로 4K(2160p)로 재생이 안됩니다 빠른 수정 부탁드립니다",ios
YouTube,아이브러브다이브사랑해,2022-04-06 22:26:06+09:00,3,0,유튜브가 돈 버는 방법이 광고입니다... 유튜브가 앞으로도 더욱 성장하고 좋은 플랫폼이 되기 위해서는 광고를 할수밖에 없습니다. 그럼에도 불편을 호소하는 분들을 배려한것이 프리미엄인것입니다... 유튜브도 돈은 벌어야하니 이점 이해하고 사용하도록 해봅시다 여러분,ios
YouTube,누미미,2022-04-06 22:20:50+09:00,5,0,이거 만든 사람 천제ㅔㅔㅔㅔ,ios
YouTube,ㅋㅋㅋㅋ 미친다,2022-04-06 22:15:57+09:00,5,0,간헐적으로 목록재생이 안됨..,ios
YouTube,송기호,2022-04-06 20:11:47+09:00,5,0,ㅎㅎ,ios
YouTube,마이너스의 손,2022-04-06 19:44:13+09:00,1,0,아무 광고나 받는건 좀 ㅋㅋ,ios
YouTube,후렌치파이a,2022-04-06 17:20:17+09:00,1,1,"재생목록으로 재생하면 하단의 리스트가 사라지고 다음영상, 이전영상으로도 재생이 안되네요 언제쯤 고쳐지는건가요",ios
YouTube,한빈조,2022-04-06 16:53:37+09:00,3,0,광고 너무 많아요,ios
YouTube,gmkmo909,2022-04-06 15:03:37+09:00,5,0,업뎃후 아이패드 유튜브 제스처 두손가락으로 피기 오므리기 전체화면 되는 기능 작동안하네요 업뎃 뜨기만 기다렸는데 오늘 또 유투브 업뎃이 올라와서 받았는데 여전히 안 고쳐졌구요 오후 반차 쓸 시간은 있나봐요,ios
YouTube,fal567,2022-04-06 14:10:54+09:00,1,0,Restore Dr Israr Ahmad YouTube channel,ios
YouTube,윤한별,2022-04-06 13:45:58+09:00,5,0,업데이트 공지사항 겁나웃겨,ios
YouTube,haza8282,2022-04-06 11:03:06+09:00,1,0,480khdr60p로 밖에 안보임,ios
YouTube,ㅂ ㅣ ㅂ,2022-04-06 07:24:12+09:00,1,1,"아니 이런 경우는 또 첨이네요 업데이트 했더니 시청한 기록이 안 떠요ㅋㅋ 이건 뭔 경우야,,,, 기록 설정에 들어가도 아무것도 건드린게 없는데 업데이트 다시 제대로 해줘요 빨리 시청 기록이 안 뜨는게 말이 되냐고",ios
YouTube,유튜브 제발 깔아,2022-04-06 07:17:23+09:00,1,0,광고 너무 많고 갑자기 이게 저를 놀리나?막 이런생각이 드네요,ios
YouTube,키키호호하,2022-04-06 07:01:43+09:00,5,0,별 100개!!,ios
YouTube,방구발명기,2022-04-06 05:46:44+09:00,1,0,현질 유도하냐? 유튜브 관리자 죽여버리고싶네 진짜,ios
YouTube,광고를 5초로 줄여주세요 ㅎㅎ,2022-04-06 05:12:35+09:00,5,0,영상 시작하기전에 광고 시작하는거 원래 예전에는 영상 몇번 나갔다 들어오면 안떴었는데 이번 업뎃 후? 부터인가 무조건 광고를 직접 다 보고 스킵해야만 없어지네요 안그래도 광고 갯수 늘어서 사용하기 불편한데 이런식으로 계속 노골적으로 광고에 포커스 맞추는 업데이트만 할거면 그냥 대놓고 광고하겠다고 말이라도 하십쇼,ios
YouTube,0ㄱ,2022-04-06 03:19:48+09:00,1,0,갈수록 더 늘어나는듯 스킵도 못하고 진짜 짜증나요 적당히가 없어..... 영상 하나 보는데 몇 개가 뜨는거냐구요🤬,ios
YouTube,🧩🍏🌿💚,2022-04-06 01:59:02+09:00,4,0,원래는 내가 만든 재생목록에서 재생 누르면 목록 내의 영상들만 자동재생이 가능했는데 어느순간부터 목록 내의 임의의 영상을 눌러도 그 영상만 보여지고 그 이후의 영상들이 자동재생은 커녕 다음 영상에 뜨지도 않네요.. 원래대로 재생목록 자동재생 가능하게 해주세요ㅠㅠ,ios
YouTube,구구구구구(비둘기1),2022-04-05 22:00:30+09:00,4,0,The notification pops up in 2 minutes. I just want it to come up right away,ios
YouTube,베킨마빈,2022-04-05 21:50:27+09:00,3,0,최근 리뷰 보니 저랑 동일한 사례가 발생하고 있나보네요ㅠㅠㅠㅠㅠㅠ저장한 재생목록 자동으로 다음영상 재생이 안돼요….  빠른 개선 부탁드려유 급하니께,ios
YouTube,수연🤍,2022-04-05 19:14:42+09:00,4,0,너무 재미있어요! 근데 광고가 너무 많이 나오고 한번씩 렉이 걸려요ㅜ-ㅜ 그것만 빼주시면 더 좋을것 같아요!,ios
YouTube,냐냐냔나냔나냔,2022-04-05 17:00:15+09:00,5,0,오후 반차는 잘 쓰셨나요?,ios
YouTube,후라이드 먹고셒다,2022-04-05 15:28:35+09:00,5,0,진짜 사랑해요💖,ios
YouTube,ㅅㄹ렬혗ㅇㄹ,2022-04-05 14:17:51+09:00,1,0,업데이트 눌러도 이제는 언되요.,ios
YouTube,fkskskalal,2022-04-05 13:11:21+09:00,1,0,1. 동영상 보는데 갑자기 검은화면으로 되서 불편합니다 2. 보는데 화면이 나가졌요,ios
YouTube,문텪,2022-04-05 10:56:33+09:00,3,0,아이폰오류좀 빨리해결해줬으면해요 몇달 묵혀서 고치지말고 좀..,ios
YouTube,미서니25,2022-04-05 10:50:20+09:00,5,0,홈트에 큰 도움을 받고 있습니다,ios
YouTube,매사에 졸린편,2022-04-05 02:01:10+09:00,5,0,안녕하세요! 유튜브 프리미엄을 꾸준히 쓰고있는 사람입니다. 작년부터인가 새로운 가능 해보기에서 아이폰도 가능한 ios pip 모드 너무 실용적이고 잘쓰고 있는데 4월8일까지더라구요 ㅠㅠ 너무너무 아쉽네요🥺 실제로 도입이 되었으면 바램이 없을 것 같습니다!ㅠㅠ 꼭 이 기능 모두가 할 수 있게 해주는 그날까지!! 이 좋은 기능 잊지 않겠습니다!😍,ios
YouTube,불편 :(,2022-04-05 01:19:22+09:00,2,0,아니 광고 두개 넣는거까지도 이해했는데 15초짜리 광고를 넘기지도 못하게 두개나 보여주는건 좀 아니죠..;; 유튜브 좀 초심좀 찾으세요~,ios
YouTube,chaeniii,2022-04-05 00:46:51+09:00,1,0,"아니 왜 자꾸 퇴보합니까 진짜... 전에도 채널>동영상 들어가면 정렬순 '오래된 순' 없어져서 순서대로 영상 보려면 일일이 내려야 해서 불편하다, 다시 원래대로 복귀시켜 달라고 했었는데 다시 돌아왔다 했더니만 방금 들어가보니 또 없어졌네요? 그럼 영상을 순서대로 보려면 하나하나 화면 내리고 앉아있어야 합니까? 화질설정부터 시작해서 진짜 유튜브 알앤디 왜이러나요... 뭐 많은 거 바라나? 더 업그레이드 시키지는 못할 망정 다운그레이드 시켜버리고 난리. 좀 확인하고 고쳐주세요. 화딱지나서 유튜브 들어가기도 싫어집니다~",ios
YouTube,ain9811,2022-04-04 23:42:26+09:00,2,0,아니 솔직히…이건 광고가 너무 많은거 아니냐고요….광고 길이가 짧기라도 하면 말을 안합니다…광고2개를 보는데 1분이 가까이 걸리는게 지금 옮다고 생각하시나요?,ios
YouTube,리뷰 조금만 잘못써도 초기화 시켜버리네,2022-04-04 20:54:48+09:00,1,0,일처리좀 똑바로 하자,ios
YouTube,별명을써야하나,2022-04-04 18:32:42+09:00,5,1,업데이트 이후에 재생목록이 제대로 작동하질 않아요 첫곡 다음 곡으로 안넘어감 셔플도 안됨 앱 지웠다 깔았는데 정상이 되었다가 이제 또 안되네요. 제발 고쳐주세요!!!!,ios
YouTube,길빵충다뒤졌으면,2022-04-04 16:07:31+09:00,1,0,"욱일기 광고?, 후쿠시마가 안전하다고? 자국민도 못믿는 말을 돈주고 광고까지 해가면서 다른 나라사람에게 사기나 치려는 광고를 버젓히 해주네요? 돈이 그렇게 많이 필요합니까? 모든 이들에게 미움받아도 상관없을만큼?",ios
