APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
네이버 블로그 - Naver Blog,나는 솜뭉치야,2022-04-07 11:27:19+09:00,2,0,"예전엔 안그랬는데, 어느 순간부터 아이패드 키보드 마우스 패드로 스크롤이 안돼요.... 글 작성할때는 스크롤이 되는데, 그 외에는 안되네요ㅠㅠ 마우스 스크롤이 안돼서 매번 화면을 터치하면서 내려야되서 너무 불편해요. 스크롤 할때 손가락 두개를 이용해서 하는 건데, 그게 안먹히네요. 근데 이상하게 또 글 작성할때는 먹히고.. ㅠㅠ",ios
네이버 블로그 - Naver Blog,블로그나도하고싶다,2022-04-07 08:30:32+09:00,3,0,"제가 어제 처음 블로그를 시작했는데 링크를 받은 주변인들이 죄다 ‘접근이 제한된 블로그 입니다’ 라고 뜬다고 하더라구요.. 인터넷에 검색해보니 제가 제 지인들을 차단한 것일거다 라고 나오는데 어제 처음 시작한 터라 남들을 한번도 차단한 적도 없는데 왜 이러는지 궁금합니다 ㅠㅠ 더군다나 부적절한 게시물을 올린 것도 아니고 그냥 사진 하나 첨부 안한, 글만 끄적인 것만 올렸는데 .. ㅠ 보시면 답변 달아주시면 감사하겠습니다 !",ios
네이버 블로그 - Naver Blog,오류좀고쳐2,2022-04-06 17:32:16+09:00,1,0,블로그 앱 자체 오류가 왜 이렇게 많나요 이웃 블로그 글남기면 블로그 주인만 된다니 뭐라니 움짤도 안만들어지고 ㅡㅡ,ios
네이버 블로그 - Naver Blog,창창효효,2022-04-06 16:28:03+09:00,1,0,"지금 몇십분째 포스팅 하나 하려고  난리인데요  패드자체를 껏다켜도 와이파이 다른거연결 계속하고 , 핫스팟으로 해봐도  어플을 껏다 켰다 지웠다 깔았다 뭔난리를 쳐도 글이 등록중입니다 화면만 계속 뜨고  글 포스팅이 안돼요!!!! 답답!!!!  저만 안되는건가요? 아님 지금 어플이 문제인가요?",ios
네이버 블로그 - Naver Blog,다람쥐 꼬르륵,2022-04-06 13:17:06+09:00,1,0,오랜만에 블로그에 글을 올리려고 다운받아 실행하였는데 정말 실망스럽습니다. 제가 성격이 급하기는하지만 정말 느려서 속터졌어요..,ios
네이버 블로그 - Naver Blog,요정원너,2022-04-06 11:54:44+09:00,1,0,블로그 커버 바꿀려니까 렉 걸리면서 바꿔지지도 않아요 웹에서 바꿀라니까 어플 쓰라 하고 ㅡㅡ 어쩌라는거임 그리고 검색하면 아무 창도 안뜰때가 ㅈㄴ 많아요 어플 안쓸거니까 웹에서도 커버프사 바꿀 수 있게 해줘요,ios
네이버 블로그 - Naver Blog,리얼다이어리,2022-04-06 07:05:58+09:00,5,0,모델은 iPhone 13 Pro인데 앱 업데이트 후 블로그 앱을 실행하면 버벅임 현상이 심합니다. 그냥 떨리면서 내려가지네요.,ios
네이버 블로그 - Naver Blog,빨리빨리777,2022-04-05 23:02:07+09:00,3,0,스크롤 쭉 내려서 예전 포스트 확인하려고 하면 뻑나서 앱 종로된다고요 얼마 전까지만 해도 없던 증상인데 폰 재부팅해보고 압 다시 깔아도 보고 해봐도 계속 같은 증상 나타납니다 이거 빨리 잡아서 수정바랍니다 예전 포스팅 확인을 못하고 있어서 짜증납니다 아이폰이에요,ios
네이버 블로그 - Naver Blog,자극하지마세요,2022-04-05 02:05:19+09:00,5,0,거짓말 작작 쳐라. 믿고 업데이트 했는데 더 느려짐. 글 쓰다가 사진 올리려면 반나절 기다려야됌 도대체 내친구들 블로그 어케 쓰는 거야? 성격이 다들 그렇게 좋아? 답답해서 뒤져버릴 거 같은 어플 만들어놓고  블로그 mz세대 끌어들이려고 광고만 엄청하고 커버사진 프로필 사진 뭐 하나 바꾸려면 바로 렉 걸려서 껐다 켜야됌 그냥 pc버전이 오히려 더 편함.   이럴 거면 앱 왜 만들었나 글도 맨날 다 날라가고 사진 몇 개 올리면 바로 튕기고 진짜 쓰다가 맨날 빡치는 게 한 두번이 아니다. 웃긴게 아이패드 일 때는 서버 일정한데 모바일 앱만 서버 불안정하다는 게 진짜 쓰다쓰다 빡쳐서 쓴다.,ios
네이버 블로그 - Naver Blog,죨업,2022-04-05 01:19:00+09:00,3,0,네이버 아이디 새로 파기 귀찮고 모든게 연동되어있는데 도메인에 아이디 뙇 띄워서 노출되게 하는게 뭔가요....,ios
네이버 블로그 - Naver Blog,나는소세지코코몽,2022-04-04 17:30:01+09:00,3,0,"홈편집 배경이미지 바꿀려고 하면 자꾸 오류가 떠요 ㅠㅠ 앱으로만 가능한 거라 피시로도 못 하고,, 고쳐주세요 엉엉",ios
네이버 블로그 - Naver Blog,만두볼긔,2022-04-04 14:53:26+09:00,1,0,"한달 이상은 된거 같은데 안고치시네요~ 댓글 달기를 하고 나면 키보드 영역이 화면에 Release 되지 않습니다. 댓글 쓸때는 화면의 반이 키보드 영역인데, 댓글 쓰기 완료한 후에도 화면의 반이 계속 사용을 못하는 공간이 됩니다. 플립폰이 아닌데 플립같은 느낌이 되네요",ios
네이버 블로그 - Naver Blog,rhdmsqls,2022-04-04 10:50:11+09:00,3,0,홈편집으로 커버사진 변경하려는데 자꾸 오류떠요ㅠㅠ 10번 했는데 10번 다 실패하네요ㅠㅠ 삭제하고 다시 깔아도 오류나는데 오류 잡아주세요....,ios
네이버 블로그 - Naver Blog,Ghutxbk,2022-04-04 08:47:01+09:00,1,0,배경스타일 사진도 안바뀌고 댓글도 안써지고 글자 배열도 자기 맘대로 무작위고 뒤로가기 누를때마다 이상한 팝업뜨고..,ios
네이버 블로그 - Naver Blog,응가 뿡,2022-04-04 02:19:36+09:00,1,0,아니 프로필이랑 배경화면 업로드 왜 계속 안되는거임??? 근데 여기서 화가나고 진짜 짜증나는 점은 내가 바꾸고 싶은 사진은 아무리 바꾸고 바꾸고 바꿔도 저장중 오류가 뜬다고 하도 그러길래 걍 아무사진이나 해봤더니 다른 사진들은 다 바뀌고 다 되더라???? 내가 바꾸고 싶은 사진들만 계속 안바뀌고 저장중 오류가 처 났다가 일부로 그러는거임 뭐임??? 진짜 웬만하면 넘어가겠는데 환멸나 죽겠음  왜 사람 스트레스 받게 만드는거임 하 진짜 진짜 끝까지 짜증난다,ios
