APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
네이버 시리즈온 - SERIES ON,가르비,2022-03-30 21:29:18+09:00,1,0,유툽 1080잘만 되는데 이 어플은 360으로 켜짐 버퍼링 개 심하고 ;;;,ios
네이버 시리즈온 - SERIES ON,요정🧚🏻,2022-03-25 08:23:47+09:00,2,0,다운로드가 너무너무 느려요ㅠ.. 예전엔 안 그랬던 것 같은데 최저 크기로 다운로드를 해도 너무 느리고 계속 끊겨서 시간만 버렸네요...,ios
네이버 시리즈온 - SERIES ON,sssdsㄷㄱㄹ,2022-03-19 20:23:23+09:00,5,0,애플tv 지원이 간절합니다. ㅠㅠ,ios
네이버 시리즈온 - SERIES ON,파이브에스,2022-03-19 00:42:17+09:00,2,0,네이버페이 무제한 멤버쉽으로 볼 수 있는 원스어폰어타임 인 아메리카를 검색창에서 검색하면 5000원 돈 주고 봐야 하는 현상을 개선해주세요.  멤버쉽 메뉴에서 영화 찾아 들어가면 멤버쉽 무료라고 뜨는데 검색창에선 결제해야 하는 것으로 뜨는데  대표적으로 호빗도 그렇고 왜 그런 기능을 두었는지 사용하기 너무 불편합니다.,ios
네이버 시리즈온 - SERIES ON,설아사탕,2022-03-17 23:07:33+09:00,1,0,이거선택하지마세요 순 구린옛날영화들뿐...어디서나 무료로볼수 있는 영화만 있어요 요즘 오티티 서비스 한두개없는분듵 없을텐데..,ios
네이버 시리즈온 - SERIES ON,wannabe_j,2022-03-12 16:38:15+09:00,4,0,"유투브도 요즘 pip기능 되는데,,, 시리즈온만 안되요 ㅠㅠ pip기능 업뎃 좀 해주세요!! 그거 때문에 별 4개 줌",ios
네이버 시리즈온 - SERIES ON,라라라라라1111,2022-03-05 13:45:39+09:00,4,0,"네이버 멤버쉽 이용으로 잘 쓰고있습니다 다만 삼성tv로 넷플릭스,왓챠,웨이브 등 다 볼수있는데 시리즈온만 볼 수 없더라고요. 재생 가능한 환경이 아니라고 뜨고요! 삼성 스마트 티비로도 볼 수 있으면 좋겠어요",ios
네이버 시리즈온 - SERIES ON,connnnoro',2022-03-03 20:55:13+09:00,1,0,와이파이 잘 되는 곳에서 다운로드 하려고 하는데 너무너무 느리네요…. 그냥 보려고 해도 많이 끊기고요.. 하루빨리 개선되길 바랍니다,ios
네이버 시리즈온 - SERIES ON,별ㅡ명123,2022-02-19 11:43:03+09:00,4,0,"시리즈온 앱 잘 사용하고 있는데요, 아이패드 에어4로 콘텐츠 재생 시 영상과 소리의 싱크가 맞지 않습니다. 어떻게 해결하나요?",ios
네이버 시리즈온 - SERIES ON,Ivt.wy,2022-02-13 16:09:30+09:00,3,0,애플tv앱 출시해 주시길,ios
네이버 시리즈온 - SERIES ON,taptaphigher,2022-02-11 13:10:42+09:00,1,0,구매한 영화 티비 연결도 안되고 노트북 스트리밍에서 fn키 하나도 안먹힘ㅋㅋㅋ 영화보는도중 밝기조절 음량조절 절대 안되는데 이걸 누가써 지금보니 평점 좋게 쓴것도 개선해달라고 애원하는정도인데 개성 의향이 아예 없나봅니다,ios
네이버 시리즈온 - SERIES ON,이쁘다이쁘당,2022-02-06 08:25:09+09:00,1,0,ㅋㅋ와 진짜 ㅋㅋㅋ 저작권때문에 미러링을 못한대여 가족들이랑 프로젝터로 크게 보려는데 안되네요 넷플릭스나 보려구요,ios
네이버 시리즈온 - SERIES ON,shema17,2022-02-03 12:01:58+09:00,5,0,아이패드는 되는데 아이폰들은 결제하기가 안되네요.,ios
네이버 시리즈온 - SERIES ON,모라써야별명이될까,2022-02-01 21:25:12+09:00,5,0,영화나 드라마를 엄청 보는 스타일은 아니고 (넷플릭스 이용안함) 보고싶은 영화나 즐겨보던 프로그램 본방 놓친거 있으면 찾아보는 편입니다. 그리고 무료영화도 자주 업데이트 되어서 좋아요 ㅋㅋ,ios
