APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
"샐러디 - Eat Better, Be Better",쮸59586,2022-03-23 11:14:54+09:00,1,0,계속 같은 비번 쳐도 안맞다고 나와요 ㅡㅡ,ios
"샐러디 - Eat Better, Be Better",naaanhyang,2022-02-19 09:15:40+09:00,3,0,스탬프적립 다 해서 쿠폰 사용할려고 하는데 쿠폰은 발행은 되었으나 오류라면사 바코드가 안보이네요? 그래서 기한 내내 오류가 떠서 제 쿠폰이 날라갔고 현재 남아있는 쿠폰도 오류도 못쓰네요 오류 언제까지 뜨나요,ios
"샐러디 - Eat Better, Be Better",인터트로칸터,2022-02-04 14:47:03+09:00,3,0,샐러디 잘 먹고 있는데  앱을 통해서 미리 주문을 하고 또 본인이 원하는 카드를 등록해서 결제할 수 있는 시스템을 만들었으면 좋겠습니다.  충전시켜서 이자따먹을 생각부터 하지 마시구요.,ios
"샐러디 - Eat Better, Be Better",hoyting,2021-11-29 11:26:06+09:00,1,0,날려먹은 쿠폰만 몇개냐 대체 로그인이 안되면 어쩌자는거 어플 왜만든겁니까??? 소비자 더 떨어져나가라고 만든거?,ios
"샐러디 - Eat Better, Be Better",zxcv9605,2021-10-20 18:11:03+09:00,1,0,이전 앱 선불충전 해놨었는데 새로운 어플 깔리고는 기존에 있던 아이디 다 없어지고 충전금액도 없어졌는데 환불처리도 안 해주시고 그대로 소멸된건가요 다시 선불금약 넣어주셔야하는 거 아닌가요,ios
"샐러디 - Eat Better, Be Better",어우메이찡,2021-10-15 09:53:05+09:00,1,0,오더주문하려고 어플설치햇는디.. 어플존재의 이유가…??,ios
"샐러디 - Eat Better, Be Better",경기펭하,2021-10-14 14:20:21+09:00,1,0,샐럽오더 언제 되는거에요…!?? 네이버 블로그에는 8월 예정으로 되어있는데 아직이네요…,ios
"샐러디 - Eat Better, Be Better",twinnkkle,2021-10-07 15:46:12+09:00,1,0,선불카드 결제한 후 사용했는데 몇 번을 시도해도 로그인이 안됩니다. 혹시 몰라 아이디 찾기랑 비밀번호 변경도 해봤는데 계속 오류가 나네요. 이렇게 계속 오류가 나면 선불카드 잔액은 어떻게 사용하나요?,ios
"샐러디 - Eat Better, Be Better",qkxx425,2021-09-28 12:34:24+09:00,1,0,쓸 때마다 로그인 튕겨져 있는 거 너무 짜증나요 앵간하면 참고 쓰는데 너무 자주 로그아웃 되어 있으니까 쓰기 싫어지네요,ios
"샐러디 - Eat Better, Be Better",4638257472994495,2021-09-24 18:24:08+09:00,1,0,들어가면 ㄹㅇ ㅈㄴ 튕겨요 이거  기본적인건 확인하고 내셔야져 어플을;;;;;,ios
"샐러디 - Eat Better, Be Better",속도 개선,2021-09-10 12:31:39+09:00,1,0,진짜 불편합니다. 어려운 일 아닌데 왜 아직도 해결이 안되나요?,ios
"샐러디 - Eat Better, Be Better",Fteam73,2021-09-09 17:05:54+09:00,1,0,"에러나고,  자동로그인은 매번 풀리고.. 아예 동작도 안하니 선불금액 시용도 못하고 이거 환불이라도 받을수 있을런지? 게다가 매장에서 이거 들이밀면  직원들이 죄다 어케 결재하는지 몰라 버벅인다...  자사앱쓰는거 자체가 주문시 가장 민폐가 되는 아이러니",ios
"샐러디 - Eat Better, Be Better",고추밭인가 여긴,2021-08-31 13:49:21+09:00,1,0,나도 샐럽오더 사용하게 해줘요 8월 초에 해준다면서요,ios
"샐러디 - Eat Better, Be Better",snowman kwon,2021-08-30 20:03:50+09:00,2,0,자주 이용하는데 갈때마다 로그인이 풀려 적립할 때마다 너무 불편해요 개선해주세요.,ios
"샐러디 - Eat Better, Be Better",지히히히,2021-08-27 09:48:18+09:00,1,0,자동로그인이 자꾸 풀려서 사용할때마다 로그인하는거 귀찮습니다. 개선해주세요.,ios
"샐러디 - Eat Better, Be Better",커비타마,2021-08-25 19:48:53+09:00,1,0,앱을 왜 만든건지 의문.. 사람들이 피드백을 보내면 고쳐야지 기본적인 것도 안되는데 수정은 전혀 없고; 노답 어플임,ios
"샐러디 - Eat Better, Be Better",ㅋㅋㅋㅋ아이디가어터케,2021-08-25 11:07:36+09:00,1,0,샐러디 이제막 유명해져서 어플만들었나본데 제대로되지도않아요 ! 로그인도 안되는게 말됨?,ios
