APP_IMG,APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
https://play-lh.googleusercontent.com/gSjYDowrYi_BIdXKIsxhc4Y3Zj5zGA3os_SCm8cqWWCrXQYejcmser-UOEM-PnCGRgk=s180-rw,지니뮤직 - genie,he l.,2022-04-08 00:00:00+09:00,1,0,모든 노래가 1분 42초 쯤 지날때마다 뒤지게 많이 끊기네요,android
https://play-lh.googleusercontent.com/gSjYDowrYi_BIdXKIsxhc4Y3Zj5zGA3os_SCm8cqWWCrXQYejcmser-UOEM-PnCGRgk=s180-rw,지니뮤직 - genie,박민영,2022-04-08 00:00:00+09:00,3,0,잘사용하고있는데 운전중 ANDROID AUTO를 사용하게되면 지니는 따로 안되나요??,android
https://play-lh.googleusercontent.com/gSjYDowrYi_BIdXKIsxhc4Y3Zj5zGA3os_SCm8cqWWCrXQYejcmser-UOEM-PnCGRgk=s180-rw,지니뮤직 - genie,누리,2022-04-07 00:00:00+09:00,3,0,업데이트 한 번 더 하셔야 할 듯 너무 느립니다 노래 듣고 다음으로 넘어가거나 뒤로가기 누르면 반응속도 너무 느려요. 심지어 밑으로 내리는것도 아예 멈췄다고 여러번 해야 겨우 내려가고... 아예 껐다 킨 것도 여러번이에요. 이 전에도 이런적 많았는데 나아지긴커녕 더 안 좋아지는 것 같아요... 기분 좋게 음악듣고 싶은데 그게 안됩니다. 개선 좀 해주세요.,android
https://play-lh.googleusercontent.com/gSjYDowrYi_BIdXKIsxhc4Y3Zj5zGA3os_SCm8cqWWCrXQYejcmser-UOEM-PnCGRgk=s180-rw,지니뮤직 - genie,메이슨마운트,2022-04-07 00:00:00+09:00,1,0,업데이트 하고 나서 그냥 앱 이상해짐 돈 아까움,android
https://play-lh.googleusercontent.com/gSjYDowrYi_BIdXKIsxhc4Y3Zj5zGA3os_SCm8cqWWCrXQYejcmser-UOEM-PnCGRgk=s180-rw,지니뮤직 - genie,어흥,2022-04-06 00:00:00+09:00,1,9,노래들으며 다른걸하고 있는데 자꾸 튕기네ㅠ 용량 큰것도 짜증나는데 너무 튕겨,android
https://play-lh.googleusercontent.com/gSjYDowrYi_BIdXKIsxhc4Y3Zj5zGA3os_SCm8cqWWCrXQYejcmser-UOEM-PnCGRgk=s180-rw,지니뮤직 - genie,이형원,2022-04-06 00:00:00+09:00,2,1,음성녹음파일 ㅜㅜ 제발 분리시켜주세요.,android
https://play-lh.googleusercontent.com/gSjYDowrYi_BIdXKIsxhc4Y3Zj5zGA3os_SCm8cqWWCrXQYejcmser-UOEM-PnCGRgk=s180-rw,지니뮤직 - genie,칫둠두둠,2022-04-06 00:00:00+09:00,4,0,예전에 아이폰 때는 노래 멈춤이 없었는데 갤럭시로 넘어 와서는 노래는 실행 하고 있다고 뜨는데 노래가 안들려서 앱을 종료 하고 다시 실행 해야 해요 ㅠㅠ 이부분 고쳐주세요 ㅠ,android
https://play-lh.googleusercontent.com/gSjYDowrYi_BIdXKIsxhc4Y3Zj5zGA3os_SCm8cqWWCrXQYejcmser-UOEM-PnCGRgk=s180-rw,지니뮤직 - genie,문희성,2022-04-05 00:00:00+09:00,1,0,아니 mp3저장 잘하다가 노래듣고 멀쩡하다가 갑자기 어느순간부터 저장이안됨 아니 왜저장이안돼는지 이해가안감 다른앱은 다되던데,android
https://play-lh.googleusercontent.com/gSjYDowrYi_BIdXKIsxhc4Y3Zj5zGA3os_SCm8cqWWCrXQYejcmser-UOEM-PnCGRgk=s180-rw,지니뮤직 - genie,이우주,2022-04-05 00:00:00+09:00,1,1,무슨 새벽에 음악들으려고하는데 무료음원사이트도아니고 정기점검이라면서 음악을 못듣게해요,android
https://play-lh.googleusercontent.com/gSjYDowrYi_BIdXKIsxhc4Y3Zj5zGA3os_SCm8cqWWCrXQYejcmser-UOEM-PnCGRgk=s180-rw,지니뮤직 - genie,강대석,2022-04-05 00:00:00+09:00,1,0,음악어플 2년사용하면서 점검한다고 노래못듣는 어플은 첨이네,android
https://play-lh.googleusercontent.com/gSjYDowrYi_BIdXKIsxhc4Y3Zj5zGA3os_SCm8cqWWCrXQYejcmser-UOEM-PnCGRgk=s180-rw,지니뮤직 - genie,조현준,2022-04-05 00:00:00+09:00,2,0,왜 서비스 점검에 들어가죠? 제가 자면서 음악들으면서 잘려고 하는데요 ㅠㅠ 이럴빠에는 멜론으로 가라타는게 더 좋을꺼 같아요ㅠㅠ,android
https://play-lh.googleusercontent.com/gSjYDowrYi_BIdXKIsxhc4Y3Zj5zGA3os_SCm8cqWWCrXQYejcmser-UOEM-PnCGRgk=s180-rw,지니뮤직 - genie,김시온,2022-04-05 00:00:00+09:00,2,0,잘 쓰고있긴한데 불편한 점 1. 플리 틀어놓고 있으면 잘 나오다가 가끔씩 노래가 끝나도 다음곡 재생이 안되고 멈춰져있음 2. 재생이나 일시정지 버튼 누를때 0.1초 정도 딜레이가 있는데 묘하게 답답함 어떨때는 버튼눌러도 반응안해서 여러번 눌러야 되고 3. 노래 재생하는 창에 나오는 플레이스트 목록에서 플리 삭제/이름변경 할 수 있게 해줬으면 좋겠음 내 음악에는 잘 들어가지도 않는데 거기에 플리 삭제 기능이 있어서 좀 황당....,android
https://play-lh.googleusercontent.com/gSjYDowrYi_BIdXKIsxhc4Y3Zj5zGA3os_SCm8cqWWCrXQYejcmser-UOEM-PnCGRgk=s180-rw,지니뮤직 - genie,남김승중,2022-04-05 00:00:00+09:00,1,10,소리 나오는 다른 어플을 사용하다 사용하는 어플에서 오디오를 사용한다고 지니가 중지가 된후 어플 사용이 끝나면 다시 재생이 되어야 하는데 정지되어 있네 업데이트 좀 제대로 해라 다른 어플들 보고 좀 배워라 이젠 답변도 안하고 업데이트도 안하고 그냥 접어라,android
https://play-lh.googleusercontent.com/gSjYDowrYi_BIdXKIsxhc4Y3Zj5zGA3os_SCm8cqWWCrXQYejcmser-UOEM-PnCGRgk=s180-rw,지니뮤직 - genie,그린라이트,2022-04-02 00:00:00+09:00,1,6,뭐라도 하다가 멈추고 다시틀면 첨부터 트는거도 모자라 절전모드를 풀어도 10초 남겨먹고 다음곡으로 강제 스킵하는건 아집인지 고집인지 모르겠다만 돈 많이 버셨으면 플레이어에 최적화를 해줬으면 합니다. 사용권을 이용해서 듣는데 매우 불편합니다. ㅡㅡ*,android
