APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
지니뮤직 - genie,인게동어어어,2022-04-07 05:40:26+09:00,1,0,개같아서 쓴다 새벽에 진짜 노래 안틀어지고 오류 계속뜨고 앱껏다키고 폰 껏다켜도 무한 오류중 ㅋㅋㅋ 그리고 외국노래들 반년이넘어서도 지니에 안나옴 ㅋㅋㅋ 프랭크오션이 듣보도아닌데;; 제발 노래좀 올려라,ios
지니뮤직 - genie,지니 이중결제 ㅠ,2022-04-06 16:28:51+09:00,5,0,지니 음악감상 30일이랑 스마트 음악감상 자동결제 해놓은거랑 이중 결제되서 지니 고객센터에 전화했더니 그러면 지니 음악감상 30일은 취소해드릴테니 앱스토어 들어가서 환불 받으면 된다고 해서 이렇게 남깁니다 !!,ios
지니뮤직 - genie,ㅗ아너ㅓㅍㄴ,2022-04-06 01:05:00+09:00,3,0,기존인증이랑 다르다면서 성인 인증이안되는데 짜증나네요 멜론으로 바꿔버리기전에 답변부탁드려요,ios
지니뮤직 - genie,제페토좀,2022-04-05 09:52:20+09:00,5,0,좋네여,ios
지니뮤직 - genie,그놈의 임hero,2022-04-04 01:24:31+09:00,1,0,헛 돈 쓴거같아서 그렇긴한데 하루 빨리 그만 하는게 도움이 된거같아요,ios
지니뮤직 - genie,k랄뽕,2022-04-03 13:46:22+09:00,1,0,1. 자꾸 뜨길래 비번 재설정.  (폰으로만 듣는 상황)  2 .비번 재설정 후 아이패드에서 접속.  2-1 비번 오류로 재접속 안내창 뜸 (이게 정상 이라 생각 됨)  3. 다른 폰에서도 동일 아이디 접속 하더라도 비번 바꼈으면 접속 안되야 하는거 아닌가요?  계속 뜨는데 지금도 ㅡㅡ,ios
지니뮤직 - genie,ㅅ ㅅ ㅅ ㅅ ㅅ ㅅ ㅎㅎㅎ로고ㅗ오뎌도ㅗ여,2022-04-01 23:16:22+09:00,2,0,가끔씩 기기 접속 문제로 로그인이 풀릴때가 있는데 너무 불편해요...,ios
지니뮤직 - genie,젠지우승함,2022-04-01 12:40:19+09:00,4,0,특정 노래 처음 들은 날을 알려주는 기능이 있으면 좋겠어요,ios
지니뮤직 - genie,유성098,2022-03-31 18:16:29+09:00,5,0,플레이리스트 정렬순 옵션에 음악 발매순도 추가해주셨으면 좋겠습니다!ㅠㅠ 연도별로 노래 듣고 싶은데 번거롭네요ㅠㅠ!,ios
지니뮤직 - genie,멜론>지니,2022-03-29 22:17:18+09:00,1,0,너무 너무 많습니다 검색하면 내가 찾고자하는곡이 바로바로 안뜹니다 아무리 좋아하는 가수노래를 들어도 관련된 노래가 바로 안뜹니다 알고리즘 자체를 이용안하는 뒤쳐진 어플같네요,ios
