APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
취업은 잡코리아,상하이에니팡,2022-04-02 19:07:53+09:00,5,0,짱입니다,ios
취업은 잡코리아,cwapple,2022-03-29 20:32:00+09:00,3,0,"메일 등 개인정보 훨씬 많이 저장되고 다뤄지는 네이버, 카톡도 이정도로 로그아웃이 자주 되지 않습니다.  금융, 증권앱도 아니고 잡코리아 계열 사이트 어플은 왜이렇게 로그아웃이 자주 되는 겁니까?",ios
취업은 잡코리아,아이폰사용중ㅇ,2022-03-24 16:29:05+09:00,5,0,아니 업데이트하고 나서 왜그런지 모르겠는데 가장 중요한 부분을 놓쳐버리네… 기업정보 취업관련정보 등 화면 이미지 일부분만 보이고 전체화면으로는 안보입니다. 화면조절도 안되서 보기가 상당히불편해요,ios
취업은 잡코리아,구직넌,2022-03-23 14:03:15+09:00,1,0,왜 안열리냐고~,ios
취업은 잡코리아,디단돌,2022-03-23 09:11:42+09:00,1,0,안넘어가집니다. 무한로딩중 언제고치시나요?,ios
취업은 잡코리아,이디로오노,2022-03-23 09:09:47+09:00,1,0,고쳐주세요,ios
취업은 잡코리아,답답해123,2022-03-23 08:23:05+09:00,1,0,생일축하 화면만 뜨고 몇번을 다시 받았는데도 어플이 안열려요,ios
취업은 잡코리아,스타트 오류,2022-03-23 01:01:15+09:00,3,0,생일 페이지 오류 화면부터 계속 넘어가질 않아요 어플 삭제하고 재설치 후 같은 현상 반복이네요ㅜㅜ 네이버에서 잡코리아 검색 해서 들어갈래도 어플 열기로 연결돼버려서 같은 이미지에서 계속 접속을 못해요ㅠㅠ,ios
취업은 잡코리아,폭ㅎㄹ,2022-03-22 23:11:32+09:00,1,0,제목 그대로 업데이트하고 나서 안열려요,ios
취업은 잡코리아,슈크슈쿠링,2022-03-22 19:56:18+09:00,4,0,생일 축하한다고 메세지 뜨고 넘어가지를 않아요 ㅠㅠ  업데이트 수정해주세요 제발요 ㅠㅠ,ios
취업은 잡코리아,별명없는데 쓰라고 하네,2022-03-21 22:01:31+09:00,3,0,생일 축하화면이 뜨면 다음으로 안넘어가는 오류 발생  1분 넘게 기다려도 안넘어갑니다,ios
취업은 잡코리아,희희희♩,2022-03-21 20:52:49+09:00,1,0,앱 안열려요 재부팅해도 안되네요..,ios
취업은 잡코리아,heeheeheekyakyakya,2022-03-04 11:39:28+09:00,5,0,좋아요좋아요좋아요,ios
취업은 잡코리아,dlsqja0219,2022-02-24 19:10:23+09:00,1,0,터치해도 안되고 걍 개쓰레기앱,ios
취업은 잡코리아,포지티브앹튜드,2022-02-16 23:37:31+09:00,1,0,"지원서 등록하고나서 정말 눈에띄게 스팸문자 많이옵니다. 이략서 등록칸에 후대폰 번호 적는거 있던데 가능하면 적지 않는거 추천드려요. 이력서 등록이루 거짓말 안보태고 하루에 5개씩 스팸문자 오길래 이력서 지웠습니다. 도대체 정보가 어디로 팔렸는지 정말 짜증나네요. 좀전에는 카톡으로 모르는 사람이 초대와서 투자처 홍보했습니다. 이력서 등록 전에는 이런 스팸은 없었는데.. 자기전에 도저히 화가 안식어 이렇게 글 남깁니다. 고객센터 문의해도 어플 알람설정 해지하라는 답변 같지도 않은 답변을 해주시더라구요.. 어찌됐든, 다른건 모르겠는데 이력서 등록시 폰번호 기입은 정말 정말 조심하세요.",ios
취업은 잡코리아,ssjdjdjfkdj,2022-02-14 20:30:22+09:00,1,0,9900 빠져나갔네요 환불해주세요..;,ios
취업은 잡코리아,양차홍,2022-02-12 22:25:05+09:00,4,0,휴면회원인경우에 어플을 깔고 로그인을 시도하면 해제로 넘어가야 하는데 창이 사라져 버립니다 어플지우고 인터넷접속후 해제하고 다시 설치했습니다 확인부탁드려요,ios
취업은 잡코리아,그데이마이,2022-02-10 05:24:02+09:00,2,0,검색조건에 의미가 있나싶을정도로 필터링이 잘 안되네요,ios
