APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
카카오톡 KakaoTalk,별명많구나도란,2022-04-01 12:32:11+09:00,1,0,오류수정해주세요,ios
카카오톡 KakaoTalk,가가각다,2022-04-01 11:36:10+09:00,4,0,ㅜㅜ,ios
카카오톡 KakaoTalk,❤️‍🔥😳🧡💋❣️,2022-04-01 10:52:40+09:00,3,0,"카카오톡 업데이트 이후 카카오톡 선물하기 > 랭킹 부분이 상품보다 리뷰가 눈에 보이니까 선물 고를 때 불편하네요… 이 전에는 카카오톡 선물하기 많이 사용했는데, 불편해서 안 보게됩니다.",ios
카카오톡 KakaoTalk,지니맘마미,2022-04-01 10:48:15+09:00,5,0,잘 쓰다가 어느샌가 보니 없어져있네요 ㅠㅠ 착한아이 폰트 다시 업데이트 해주세요,ios
카카오톡 KakaoTalk,강보헤,2022-04-01 03:58:23+09:00,4,0,상대방한테도 안뜨게 이 기능 없애주시면 안될까요...? 프사 자주 바꾸기도 민망할지경!^^;,ios
카카오톡 KakaoTalk,Kguksscd,2022-04-01 00:31:59+09:00,1,0,"처음엔 리뷰 랭킹이 따로있는줄 알았네요 대체 누구 아이디어인지 이게 승인이된것도 놀랍고ㅜ리뷰 다 비슷비슷한 멘트에 상품은 작아서 보이지도않고 랭킹보면서 요즘 유행하는거, 잘팔리는거 보면서 아이쇼핑도 하고 내가 사서 쓰기도 하고 친구들 선물줄때도 랭킹이 유용했는데 이건 사지 말라는 거 같은데요",ios
카카오톡 KakaoTalk,개시부랄똥,2022-03-31 22:42:38+09:00,5,0,"보낸사람 : 내용. 이런식의 예전 카톡이 보고싶습니다  왜 이런 업데이트를 하는걸까요.. 진짜 한 번만 원래대로 해 주시면 안되나요 ..,!!",ios
카카오톡 KakaoTalk,커난ㅋ탸누뉴야투듀져쟌ㄴ,2022-03-31 22:24:43+09:00,1,0,좋긴 좋았는데 계속 한 1년에 2~3번 정도 계정을 계속 잃어버렸다고 하네요 결국 초기화 됐습니다,ios
카카오톡 KakaoTalk,gownjdy,2022-03-31 22:08:06+09:00,5,0,멀티프로필 기능 너무 좋은데 친구추가를 해야만 사용할 수 있다는게 너무 불편해요 단체톡방에 있는 사람을 다 추가하기도 좀 그런데 단체톡방 안에서 사용할 수 있는 멀티프로필도 생기면 좋겠어요 오픈채팅방처럼!,ios
카카오톡 KakaoTalk,cj34gun,2022-03-31 22:02:04+09:00,5,0,탈퇴하려고 보니 계속 탈퇴 안된다고 뜨는데 탈퇴 좀 시켜주세요. 뭔가 오류 난거 같은데,ios
